Subfamily,Genus.Species,caste,Gyne,Source
Ponerinae,Anochetus.mayri,worker,,
Myrmicinae,Aphaenogaster.ashmeadi,worker,,
Myrmicinae,Aphaenogaster.carolinensis,worker,,
Myrmicinae,Aphaenogaster.flemingi,worker,,
Myrmicinae,Aphaenogaster.floridana,worker,,
Myrmicinae,Aphaenogaster.fulva,worker,,
Myrmicinae,Aphaenogaster.lamellidens,worker,,
Myrmicinae,Aphaenogaster.rudis,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Aphaenogaster.tennesseensis,worker,,
Myrmicinae,Aphaenogaster.treatae,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Brachymyrmex.depilis,worker,,
Formicinae,Brachymyrmex.obscurior,worker,,
Formicinae,Camponotus.americanus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Camponotus.castaneus,worker,,
Formicinae,Camponotus.floridanus,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Camponotus.nearcticus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Camponotus.socius,worker,,
Myrmicinae,Cardiocondyla.emeryi,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Cardiocondyla.minutior,worker,Polygyne,AntWeb
Myrmicinae,Cardiocondyla.venustula,worker,Polygyne,AntWeb
Myrmicinae,Cardiocondyla.wroughtonii,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Cephalotes.varians,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Colobopsis.impressa,worker,,
Myrmicinae,Crematogaster.ashmeadi,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Crematogaster.atkinsoni,worker,Both/Facultatively polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Crematogaster.lineolata,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Crematogaster.minutissima,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Crematogaster.pilosa,worker,,
Myrmicinae,Crematogaster.pinicola,worker,,
Ponerinae,Cryptopone.gilva,worker,Polygyne,"Mackay, W.P. and E.E. MacKay. 2010. The systematics and biology of the New World ants of the genus Pachycondyla (Hymenoptera: Formicidae). Edwin Mellen Press Lewiston, NY"
Myrmicinae,Cyphomyrmex.minutus,worker,,
Myrmicinae,Cyphomyrmex.rimosus,worker,Polygyne,AntWeb
Proceratiinae,Discothyrea.testacea,worker,,
Dolichoderinae,Dolichoderus.mariae,worker,Polygyne,"Laskis, Kristina O., and Walter R. Tschinkel. 2009. “The Seasonal Natural History of the Ant, Dolichoderus Mariae, in Northern Florida.” Journal of Insect Science 9: 2."
Dolichoderinae,Dolichoderus.pustulatus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Dolichoderinae,Dorymyrmex.bossutus,worker,,
Dolichoderinae,Dorymyrmex.bureni,worker,Monogyne,AUTHOR OBS
Dolichoderinae,Dorymyrmex.elegans,worker,,
Dolichoderinae,Dorymyrmex.grandulus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Dolichoderinae,Dorymyrmex.reginicula,worker,,
Myrmicinae,Eurhopalothrix.floridana,worker,,
Dolichoderinae,Forelius.pruinosus,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Formica.archboldi,worker,Both/Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Formica.dolosa,worker,,
Formicinae,Formica.pallidefulva,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Formica.subsericea,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ponerinae,Gnamptogenys.triangularis,worker,,
Ponerinae,Hypoponera.inexorata,worker,,
Ponerinae,Hypoponera.opaciceps,worker,,
Ponerinae,Hypoponera.opacior,worker,,
Formicinae,Lasius.americanus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Lasius.umbratus,worker,,
Dolichoderinae,Linepithema.humile,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Monomorium.pharaonis,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Monomorium.viridum,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Myrmecina.americana,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Myrmica.punctiventris,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ecitoninae,Neivamyrmex.carolinensis,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Ecitoninae,Neivamyrmex.nigrescens,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ecitoninae,Neivamyrmex.texanus,worker,,
Formicinae,Nylanderia.arenivaga,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Nylanderia.bourbonica,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Nylanderia.concinna,worker,,
Formicinae,Nylanderia.faisonensis,worker,,
Formicinae,Nylanderia.parvula,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Nylanderia.phantasma,worker,,
Formicinae,Nylanderia.pubens,worker,,
Formicinae,Nylanderia.steinheili,worker,,
Formicinae,Nylanderia.vividula,worker,,
Formicinae,Nylanderia.wojciki,worker,,
Ponerinae,Odontomachus.brunneus,worker,Monogyne,AUTHOR OBS
Ponerinae,Odontomachus.haematodus,worker,,
Ponerinae,Odontomachus.relictus,worker,,
Ponerinae,Odontomachus.ruginodis,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Paratrechina.longicornis,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Pheidole.adrianoi,worker,,
Myrmicinae,Pheidole.bicarinata,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Pheidole.dentata,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Pheidole.dentigula,worker,,
Myrmicinae,Pheidole.diversipilosa,worker,Monogyne,"MacKay, W. P., and E. Mackay. 2002. “The Ants of New Mexico (Hymenoptera: Formicidae).” utep.edu. 2002. http://www.utep.edu/LEB/ants/Newmexicoants.doc."
Myrmicinae,Pheidole.floridana,worker,,
Myrmicinae,Pheidole.lamia,worker,,
Myrmicinae,Pheidole.metallescens,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Pheidole.moerens,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Pheidole.morrisii,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Pheidole.obscurithorax,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Ponerinae,Platythyrea.punctata,worker,,
Myrmicinae,Pogonomyrmex.badius,worker,Monogyne,"Tschinkel, W. R. 1998. “Sociometry and Sociogenesis of Colonies of the Harvester Ant, Pogonomyrmex Badius: Worker Characteristics in Relation to Colony Size and Season.” Insectes Sociaux 45 (4): 385–410."
Ponerinae,Ponera.exotica,worker,,
Ponerinae,Ponera.pennsylvanica,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Prenolepis.imparis,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Proceratiinae,Proceratium.crassicorne,worker,,
Proceratiinae,Proceratium.croceum,worker,,
Proceratiinae,Proceratium.silaceum,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Pseudomyrmecinae,Pseudomyrmex.ejectus,worker,,
Pseudomyrmecinae,Pseudomyrmex.elongatus,worker,,
Pseudomyrmecinae,Pseudomyrmex.gracilis,worker,Monogyne,Ward P. S. 1985. The Nearctic species of the genus Pseudomyrmex (Hymenoptera: Formicidae). Quaestiones Entomologicae 21: 209-246
Pseudomyrmecinae,Pseudomyrmex.pallidus,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ponerinae,Pseudoneoponera.stigma,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Solenopsis.carolinensis,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Solenopsis.geminata,worker,Both/Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Solenopsis.globularia,worker,,
Myrmicinae,Solenopsis.invicta,worker,Both/Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Solenopsis.pergandei,worker,Polygyne,AUTHOR OBS
Myrmicinae,Stenamma.impar,worker,Monogyne,"Smith, Marion R. 1957. “Revision of the Genus Stenamma Westwood in America North of Mexico (Hymenoptera, Formicidae).” The American Midland Naturalist 57 (1): 133–74."
Amblyoponinae,Stigmatomma.pallipes,worker,Both/Polygyne,Antwiki
Myrmicinae,Strumigenys.bunki,worker,,
Myrmicinae,Strumigenys.cloydi,worker,,
Myrmicinae,Strumigenys.clypeata,worker,,
Myrmicinae,Strumigenys.creightoni,worker,,
Myrmicinae,Strumigenys.dietrichi,worker,,
Myrmicinae,Strumigenys.eggersi,worker,Polygyne,Antwiki
Myrmicinae,Strumigenys.emmae,worker,Polygyne,AUTHOR OBS
Myrmicinae,Strumigenys.epinotalis,worker,,
Myrmicinae,Strumigenys.hexamera,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Strumigenys.laevinasis,worker,,
Myrmicinae,Strumigenys.louisianae,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Strumigenys.margaritae,worker,,
Myrmicinae,Strumigenys.membranifera,worker,,
Myrmicinae,Strumigenys.missouriensis,worker,,
Myrmicinae,Strumigenys.missouriensis,worker,,
Myrmicinae,Strumigenys.ornata,worker,,
Myrmicinae,Strumigenys.pilinasis,worker,,
Myrmicinae,Strumigenys.rostrata,worker,,
Myrmicinae,Strumigenys.talpa,worker,,
Dolichoderinae,Tapinoma.litorale,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Dolichoderinae,Tapinoma.sessile,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Temnothorax.allardycei,worker,Monogyne,"Deyrup, M. 1997. Dacetine ants of the Bahamas (Hymenoptera: Formicidae). Bahamas Journal of Science 5(1):2-6."
Myrmicinae,Temnothorax.curvispinosus,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Temnothorax.palustris,worker,,
Myrmicinae,Temnothorax.pergandei,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Temnothorax.schaumii,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Temnothorax.smithi,worker,Polygyne,"Smith, M. R. 1929c. Descriptions of five new North American ants, with biological notes. Ann. Entomol. Soc. Am. 22: 543-551 (page 547, [Junior secondary homonym of Macromischa wheeleri Mann, 1920: 422.] )"
Myrmicinae,Temnothorax.texanus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Tetramorium.bicarinatum,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Tetramorium.simillimum,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Trachymyrmex.jamaicensis,worker,,
Myrmicinae,Trachymyrmex.septentrionalis,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Wasmannia.auropunctata,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Xenomyrmex.floridanus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."