Genus.Species,Caste,Image CASENT,Head_width,Head_length,Mandible_length,Eye length_1,Eye length_2,Weber_length
Formica.pallidefulva,worker,casent0905709,0.993,1.184,0.6,0.353,0.51,2.761
Formica.pallidefulva,worker,casent0915638,1.225,1.493,0.683,0.386,0.391,2.315
Formica.pallidefulva,worker,casent0103932,0.9835,1.259,0.164,0.354,0.349,2.086
Formica.subsericea,worker,casent0179853,1.33,1.526,0.679,0.485,0.513,2.27
Formica.subsericea,worker,casent0280362,1.609,1.849,0.827,0.589,0.59,2.676
Formica.subsericea,worker,casent0281180,1.685,1.896,0.818,0.577,0.6,2.798
Formica.subsericea,worker,casent0103942,1.378,1.648,0.172,0.513,0.508,2.502
Gnamptogenys.triangularis,worker,casent0179951,1.175,1.14,0.843,0.288,0.299,1.923
Gnamptogenys.triangularis,worker,casent0915109,1.132,1.165,0.724,0.314,0.312,1.939
Gnamptogenys.triangularis,worker,casent0907186,1.041,1.047,0.818,0.251,0.265,1.65
Gnamptogenys.triangularis,worker,casent0103948,0.9985,1.039,0.4135,0.235,0.234,1.8045
Hypoponera.inexorata,worker,casent0103956,0.621,0.693,0.367,,0.034,0.902
Hypoponera.inexorata,worker,casent0065779,0.53,0.642,0.318,,0.042,0.894
Hypoponera.inexorata,worker,casent0647600,0.99,1.045,0.608,,0.055,1.555
Hypoponera.inexorata,worker,fmnhins0000088658,0.626,0.696,0.386,,0.039,0.991
Hypoponera.inexorata,worker,casent0102904,0.6725,0.755,0.259,0.045,0.045,1.042
Hypoponera.opaciceps,worker,casent0103952,0.626,0.715,0.37,0.05,0.041,0.926
Hypoponera.opaciceps,worker,casent0104122,0.608,0.696,0.335,0.047,0.036,1.016
Hypoponera.opaciceps,worker,casent0246006,0.689,0.752,0.413,,0.019,1.071
Hypoponera.opaciceps,worker,casent0915870,0.644,0.731,0.332,0.047,0.049,1.049
Hypoponera.opaciceps,worker,casent0104663,0.66,0.761,0.22,0.042,0.043,1.0755
Hypoponera.opacior,worker,casent0103966,0.579,0.705,0.355,0.034,0.03,0.857
Hypoponera.opacior,worker,casent0907333,0.525,0.616,0.333,,0.03,0.98
Hypoponera.opacior,worker,fmnhins0000062864,0.502,0.584,0.309,,0.029,0.794
Hypoponera.opacior,worker,casent0102905,0.5145,0.622,0.172,0.027,0.026,0.816
Hypoponera.punctatissima,worker,casent0103973,0.697,0.851,0.305,,,0.853
Hypoponera.punctatissima,worker,casent0103976,0.48,0.588,0.32,,0.032,0.724
Hypoponera.punctatissima,worker,casent0217521,0.345,0.419,0.197,,0.023,0.581
Hypoponera.punctatissima,worker,casent0915190,0.54,0.63,0.335,,0.021,0.802
Hypoponera.punctatissima,worker,casent0005437,0.5225,0.626,0.197,0.028,0.026,0.852
Lasius.americanus,worker,casent0102801,0.812,0.903,0.424,0.231,0.222,0.997
Lasius.americanus,worker,casent0179854,0.772,0.846,0.389,,0.226,0.911
Lasius.americanus,worker,casent0905677,0.759,0.809,0.338,0.209,0.233,1.102
Lasius.americanus,worker,casent0103987,0.773,0.885,0.0935,0.206,0.221,1.022
Lasius.interjectus,worker,casent0103545,1.425,1.372,0.741,0.2,0.169,1.65
Lasius.interjectus,worker,casent0105573,1.271,1.236,0.697,0.184,0.182,1.559
Lasius.interjectus,worker,casent0102696,1.3445,1.284,0.206,0.169,0.171,1.56
Lasius.neoniger,worker,casent0103980,0.807,0.848,0.41,0.193,0.212,1.039
Lasius.neoniger,worker,casent0179850,0.762,0.828,0.411,0.207,0.201,1.103
Lasius.neoniger,worker,casent0905676,0.724,0.786,0.407,0.202,0.191,1.037
Lasius.neoniger,worker,casent0005403,0.821,0.91,0.1805,0.222,0.227,1.077
Lasius.umbratus,worker,casent0903215,0.933,0.967,0.508,0.145,0.139,1.209
Lasius.umbratus,worker,casent0911054,1.181,1.217,0.666,,0.193,1.485
Lasius.umbratus,worker,casent0911055,0.827,0.878,0.46,0.137,0.136,1.143
Lasius.umbratus,worker,casent0172706,1.064,1.103,0.2255,0.149,0.15,1.425
Leptogenys.manni,worker,casent0178785,0.936,1.466,0.672,0.342,0.325,2.384
Leptogenys.manni,worker,casent0104002,0.864,1.412,0.1735,0.317,0.315,2.407
Linepithema.humile,worker,casent0104147,0.606,0.662,0.283,0.168,0.185,1.009
Linepithema.humile,worker,casent0911562,0.832,0.858,0.399,0.238,0.2,1.247
Linepithema.humile,worker,casent0915577,0.673,0.719,0.339,0.205,0.184,1.079
Linepithema.humile,worker,casent0249733,0.703,0.725,0.312,0.2,0.186,1.132
Linepithema.humile,worker,casent0006019,0.6695,0.713,0.145,0.163,0.165,1.067
Monomorium.pharaonis,worker,casent0005782,0.482,0.597,0.265,0.095,0.089,0.778
Monomorium.pharaonis,worker,casent0104095,0.448,0.55,0.24,0.094,0.096,0.676
Monomorium.pharaonis,worker,casent0171086,0.415,0.526,0.227,0.084,0.081,0.647
Monomorium.pharaonis,worker,casent0173986,0.3955,0.508,0.0545,0.075,0.074,0.654
Monomorium.subcoecum,worker,casent0923382,0.262,0.322,0.148,0.019,0.016,0.376
Monomorium.subcoecum,worker,casent0923383,0.259,0.328,0.142,0.02,0.017,0.353
Monomorium.subcoecum,worker,casent0904581,0.315,0.385,0.064,0.018,0.018,0.385
Monomorium.trageri,worker,casent0104103,0.353,0.495,0.024,0.081,0.082,0.528
Monomorium.viridum,worker,casent0104112,0.4045,0.52,0.092,0.105,0.104,0.529
Myrmecina.americana,worker,casent0104118,0.784,0.754,0.413,0.099,0.096,0.878
Myrmecina.americana,worker,casent0904688,0.634,0.638,0.394,,0.092,0.813
Myrmecina.americana,worker,fmnhins0000088661,0.669,0.654,0.348,0.076,0.059,0.823
Myrmecina.americana,worker,casent0103049,0.694,0.671,0.1575,0.074,0.062,0.836
Myrmica.punctiventris,worker,casent0907643,0.956,1.153,0.533,0.234,,1.366
Myrmica.punctiventris,worker,casent0104128,0.991,1.159,0.156,0.21,0.215,1.4365
Neivamyrmex.carolinensis,worker,casent0902643,0.616,0.694,0.379,,0.045,1.05
Neivamyrmex.carolinensis,worker,casent0923616,0.953,0.963,0.482,0.049,0.048,1.389
Neivamyrmex.carolinensis,worker,casent0104130,0.9675,1.005,0.1755,0.047,0.047,1.383
Neivamyrmex.nigrescens,worker,casent0005332,0.957,0.994,0.506,0.077,,1.621
Neivamyrmex.nigrescens,worker,casent0106080,1,1.008,0.535,0.077,0.083,1.633
Neivamyrmex.nigrescens,worker,casent0249494,0.604,0.752,0.347,0.067,,1.221
Neivamyrmex.nigrescens,worker,casent0902642,0.747,0.824,0.468,0.068,0.07,1.372
Neivamyrmex.nigrescens,worker,casent0249493,0.673,0.81,0.204,0.07,0.07,1.3285
Neivamyrmex.opacithorax,worker,casent0005334,0.991,1.04,0.5,0.067,0.057,1.397
Neivamyrmex.opacithorax,worker,casent0104139,1.094,1.117,0.509,0.07,0.064,1.773
Neivamyrmex.opacithorax,worker,casent0104142,0.629,0.722,0.351,,0.045,1.061
Neivamyrmex.opacithorax,worker,casent0903735,0.732,0.829,0.364,0.073,0.069,1.359
Neivamyrmex.opacithorax,worker,casent0102767,0.5445,0.647,0.0845,0.048,0.044,0.986
Neivamyrmex.pilosus,worker,casent0173529,1.508,1.511,0.64,0.076,0.059,2.068
Neivamyrmex.pilosus,worker,casent0249500,1.333,1.35,0.619,0.07,0.066,1.942
Neivamyrmex.pilosus,worker,casent0902654,1.321,1.435,0.695,0.104,0.095,2.147
Neivamyrmex.pilosus,worker,casent0911404,0.742,0.879,0.358,0.06,0.06,1.44
Neivamyrmex.pilosus,worker,ufv-labecol-003518,0.7155,0.821,0.2535,0.054,0.052,1.514
Neivamyrmex.texanus,worker,casent0249509,1.134,1.176,0.636,0.103,0.114,1.968
Neivamyrmex.texanus,worker,casent0104150,0.768,0.929,0.222,0.77,0.74,1.4985
Nylanderia.arenivaga,worker,CASENT0280573,0.507,0.561,0.337,0.151,0.147,0.732
Nylanderia.arenivaga,worker,CASENT0923370,0.379,0.447,0.236,0.106,0.086,0.543
Nylanderia.arenivaga,worker,casent0104195,0.4455,0.532,0.0785,0.127,0.129,0.7605
Nylanderia.bourbonica,worker,casent0104203,0.619,0.674,0.285,0.198,0.192,1.006
Nylanderia.bourbonica,worker,casent0188533,0.641,0.713,0.328,0.197,0.203,0.933
Nylanderia.bourbonica,worker,casent0280574,0.65,0.707,0.391,0.22,0.225,1.028
Nylanderia.bourbonica,worker,casent0910998,0.654,0.703,0.354,0.212,0.225,1.08
Nylanderia.bourbonica,worker,fmnhins0000062866,0.62,0.709,0.339,0.193,0.203,0.923
Nylanderia.bourbonica,worker,casent0235555,0.533,0.607,0.107,0.173,0.169,0.9045
Nylanderia.concinna,worker,casent0104209,0.4595,0.539,0.685,0.126,0.123,0.761
Nylanderia.faisonensis,worker,casent0280576,0.532,0.601,0.315,0.149,0.151,0.829
Nylanderia.faisonensis,worker,casent0911026,0.538,0.616,0.305,0.142,0.117,0.754
Nylanderia.faisonensis,worker,casent0104218,0.4285,0.532,0.11,0.117,0.119,0.7155
Nylanderia.fulva,worker,casent0173238,0.497,0.585,0.254,0.155,0.161,0.846
Nylanderia.fulva,worker,casent0911029,0.739,0.814,0.439,0.223,0.198,1.069
Nylanderia.fulva,worker,ecofog-it14-0782-33,0.549,0.681,0.268,0.176,0.167,0.982
Nylanderia.fulva,worker,focol2719,0.809,0.82,0.463,0.223,0.222,1.197
Nylanderia.fulva,worker,casent0173491,0.6005,0.674,0.139,0.179,0.176,0.9345
Nylanderia.parvula,worker,casent0104230,0.537,0.62,0.278,0.159,0.145,0.758
Nylanderia.parvula,worker,casent0903132,0.48,0.538,0.288,0.47,0.137,0.66
Nylanderia.parvula,worker,casent0915727,0.48,0.543,0.261,0.131,0.143,0.705
Nylanderia.parvula,worker,casent0003319,0.4995,0.587,0.109,0.132,0.135,0.7345
Nylanderia.phantasma,worker,casent0104244,0.434,0.551,0.287,0.125,0.133,0.729
Nylanderia.pubens,worker,casent0104862,0.764,0.847,0.443,0.213,0.193,1.002
Nylanderia.pubens,worker,casent0911031,0.735,0.781,0.42,0.21,0.202,1.084
Nylanderia.pubens,worker,fmnhins0000088663,0.688,0.784,0.315,0.205,0.201,1.058
Nylanderia.pubens,worker,casent0104254,0.6435,0.743,0.0645,0.186,0.185,0.9955
Nylanderia.steinheili,worker,casent0102943,0.587,0.653,0.346,0.156,0.124,0.724
Nylanderia.steinheili,worker,casent0173233,0.48,0.574,0.29,0.151,0.154,0.767
Nylanderia.steinheili,worker,casent0280581,0.675,0.738,0.381,0.198,0.159,0.772
Nylanderia.steinheili,worker,casent0903138,0.506,0.569,0.299,0.158,0.159,0.763
Nylanderia.steinheili,worker,casent0178613,0.4195,0.524,0.092,0.123,0.12,0.666
Nylanderia.vividula,worker,casent0102821,0.537,0.614,0.298,0.152,0.161,0.806
Nylanderia.vividula,worker,casent0104260,0.556,0.649,0.315,0.158,0.158,0.821
Nylanderia.vividula,worker,casent0219750,0.604,0.7,0.37,0.159,0.15,0.894
Nylanderia.vividula,worker,usnment00753566,0.619,0.674,0.363,0.174,0.145,0.745
Nylanderia.vividula,worker,casent0280580,0.516,0.588,0.1285,0.149,0.153,0.7055
Nylanderia.wojciki,worker,casent0281000,0.473,0.579,0.273,0.141,0.141,0.648
Nylanderia.wojciki,worker,casent0104268,0.4235,0.543,0.062,0.121,0.124,0.6315
Ochetellus.glaber,worker,casent0003317,0.499,0.541,0.199,0.125,0.128,0.653
Ochetellus.glaber,worker,casent0104159,0.454,0.549,0.2,0.14,0.162,0.781
Ochetellus.glaber,worker,casent0275747,0.617,0.694,0.285,0.167,0.143,0.888
Ochetellus.glaber,worker,casent0919962,0.551,0.594,0.234,0.159,0.148,0.719
Ochetellus.glaber,worker,casent0005175,0.4845,0.555,0.1,0.138,0.133,0.6525
Odontomachus.brunneus,worker,antweb1041404,1.946,2.277,1.432,0.432,0.402,2.92
Odontomachus.brunneus,worker,casent0104165,1.66,1.959,0.959,0.317,0.354,2.893
Odontomachus.brunneus,worker,casent0270601,1.598,1.918,0.984,0.333,0.353,2.334
Odontomachus.brunneus,worker,casent0649761,1.562,1.816,0.92,0.327,0.323,2.426
Odontomachus.brunneus,worker,casent0270600,1.708,2.181,1.1175,0.38,0.383,2.6995
Odontomachus.haematodus,worker,casent0173537,1.664,2.033,1.139,0.352,0.375,3.027
Odontomachus.haematodus,worker,casent0246014,1.911,2.368,1.289,0.447,0.448,3.166
Odontomachus.haematodus,worker,casent0900581,1.191,1.514,0.904,0.279,0.252,1.953
Odontomachus.haematodus,worker,casent0904007,2.08,2.534,1.405,0.484,0.466,3.062
Odontomachus.haematodus,worker,casent0103104,1.896,2.565,1.24,0.474,0.467,3.0705
Odontomachus.relictus,worker,casent0104172,1.566,1.967,0.98,0.357,0.355,2.3585
Odontomachus.ruginodis,worker,casent0318467,1.527,1.813,0.89,0.307,0.344,2.455
Odontomachus.ruginodis,worker,casent0650423,1.669,2.027,1.014,0.361,,2.604
Odontomachus.ruginodis,worker,fmnhins0000078502,1.762,2.136,1.163,0.379,0.337,2.689
Odontomachus.ruginodis,worker,fmnhins0000088684,1.717,2.065,1.042,0.351,0.34,2.546
Odontomachus.ruginodis,worker,casent0104183,1.5355,1.951,0.87,0.333,0.33,2.7725
Paratrechina.longicornis,worker,casent0104236,0.594,0.783,0.394,0.247,0.2,1
Paratrechina.longicornis,worker,casent0125348,0.483,0.63,0.32,0.195,0.167,0.945
Paratrechina.longicornis,worker,casent0171073,0.469,0.672,0.316,0.211,0.196,0.968
Paratrechina.longicornis,worker,casent0281157,0.507,0.669,0.358,0.215,0.215,1.033
Paratrechina.longicornis,worker,casent0171035,0.463,0.655,0.094,0.194,0.195,1.0165
Pheidole.adrianoi,worker,casent0104274,0.3945,0.425,0.1005,0.099,0.101,0.5065
Pheidole.adrianoi,major,casent0104273,0.8945,0.862,0.2015,0.109,0.113,0.696
Pheidole.bicarinata,worker,casent0102869,0.487,0.519,0.294,0.118,0.122,0.6
Pheidole.bicarinata,worker,casent0104283,0.525,0.535,0.299,0.127,0.134,0.661
Pheidole.bicarinata,worker,casent0904437,0.449,0.501,0.242,0.122,0.116,0.573
Pheidole.bicarinata,worker,casent0904439,0.443,0.483,0.289,0.093,0.094,0.585
Pheidole.bicarinata,worker,casent0005750,0.512,0.542,0.1215,0.114,0.114,0.5945
Pheidole.bicarinata,major,casent0005749,0.957,0.973,0.452,0.158,0.157,0.889
Pheidole.bicarinata,major,casent0104282,0.918,0.99,0.446,0.14,0.139,0.863
Pheidole.bicarinata,major,casent0283402,0.948,1.01,0.43,0.133,0.138,0.825
Pheidole.bicarinata,major,casent0904436,0.916,0.954,0.455,0.15,0.126,0.806
Pheidole.bicarinata,major,casent0102868,1.0255,1.061,0.178,0.123,0.122,0.898
Pheidole.floridana,worker,casent0104402,0.429,0.464,0.244,0.086,0.102,0.605
Pheidole.floridana,worker,casent0904425,0.472,0.539,0.281,0.105,0.102,0.583
Pheidole.floridana,worker,fmnhins0000078504,0.4305,0.468,0.095,0.086,0.086,0.5355
Pheidole.floridana,major,casent0904424,0.867,0.881,0.432,0.149,0.123,0.795
Pheidole.floridana,major,casent0104401,0.8525,0.906,0.1895,0.106,0.106,0.824
Pheidole.carrolli,worker,casent0104287,0.522,0.619,0.115,0.138,0.139,0.797
Pheidole.carrolli,major,casent0104286,1.4305,1.506,0.331,0.19,0.189,1.3015
Pheidole.crassicornis,worker,casent0104292,0.69,0.757,0.385,,0.143,0.933
Pheidole.crassicornis,worker,casent0904433,0.5795,0.668,0.1825,0.128,0.131,1.0065
Pheidole.crassicornis,major,casent0904432,1.429,1.357,0.742,0.223,0.218,1.297
Pheidole.crassicornis,major,casent0104291,1.1455,1.209,0.2355,0.189,0.181,1.242
Pheidole.dentata,worker,casent0901476,0.641,0.69,0.401,0.165,0.169,0.968
Pheidole.dentata,worker,casent0901549,0.592,0.651,0.353,0.158,0.118,0.943
Pheidole.dentata,worker,casent0917765,0.639,0.706,0.367,0.164,0.168,1.001
Pheidole.dentata,worker,fmnhins0000078503,0.61,0.694,0.402,0.166,0.156,0.905
Pheidole.dentata,worker,casent0104240,0.617,0.706,0.132,0.154,0.154,0.944
Pheidole.dentata,major,casent0103882,1.319,1.34,0.676,0.227,0.209,1.175
Pheidole.dentata,major,casent0901475,1.14,1.128,0.585,0.191,0.198,1.091
Pheidole.dentata,major,casent0908218,1.291,1.286,0.745,0.227,0.207,1.287
Pheidole.dentata,major,casent0901550,1.134,1.161,0.327,0.189,0.193,1.103
Pheidole.dentigula,worker,fmnhins0000088647,0.42,0.461,0.259,0.071,0.086,0.504
Pheidole.dentigula,worker,casent0104394,0.45,0.492,0.1245,0.065,0.063,0.512
Pheidole.dentigula,major,casent0104393,0.786,0.815,0.168,0.083,0.079,0.7065
Pheidole.diversipilosa,worker,casent0104396,0.602,0.638,0.341,0.137,0.134,0.878
Pheidole.diversipilosa,worker,casent0102875,0.602,0.687,0.155,0.144,0.142,0.8475
Pheidole.diversipilosa,major,casent0104395,1.109,1.126,0.507,0.171,0.182,1.148
Pheidole.diversipilosa,major,casent0619981,1.217,1.202,0.527,0.188,0.192,1.201
Pheidole.diversipilosa,major,casent0102874,1.192,1.205,0.289,0.168,0.171,1.1175
Pheidole.flavens,worker,casent0104397,0.435,0.465,0.248,,0.089,0.518
Pheidole.flavens,worker,casent0908260,0.392,0.415,0.23,0.075,0.079,0.468
Pheidole.flavens,worker,casent0908262,0.454,0.479,0.269,0.111,0.085,0.575
Pheidole.flavens,worker,fmnhins0000088648,0.411,0.45,0.241,0.094,0.084,0.522
Pheidole.flavens,worker,casent0178022,0.39,0.453,0.1125,0.081,0.08,0.4995
Pheidole.flavens,major,casent0173263,0.825,0.801,0.381,,0.108,0.61
Pheidole.flavens,major,casent0246098,0.861,0.797,0.404,0.125,0.125,0.697
Pheidole.flavens,major,casent0908267,0.679,0.668,0.327,0.096,0.099,0.61
Pheidole.flavens,major,casent0908276,0.861,0.852,0.373,0.104,0.092,0.667
Pheidole.flavens,major,casent0178020,0.8085,0.772,0.1725,0.095,0.097,0.732
Pheidole.lamia,worker,casent0104698,0.474,0.505,0.297,0.087,0.083,0.649
Pheidole.lamia,worker,casent0172696,0.465,0.507,0.262,,0.08,0.582
Pheidole.lamia,worker,casent0104788,0.419,0.52,0.1,0.077,0.075,0.6015
Pheidole.lamia,major,casent0104664,0.628,0.98,0.397,,0.104,0.828
Pheidole.lamia,major,casent0172695,0.578,0.872,0.339,,0.114,0.872
Pheidole.lamia,major,casent0104787,0.595,0.876,0.1315,0.098,0.1,0.796
Pheidole.littoralis,worker,casent0104405,,0.471,0.263,0.131,0.113,0.56
Pheidole.littoralis,worker,casent0901557,0.547,0.545,0.311,0.154,0.159,0.651
Pheidole.littoralis,worker,fmnhins0000062822,0.41,0.435,0.088,0.082,0.083,0.5015
Pheidole.littoralis,major,casent0104404,1.319,1.4,0.573,0.191,0.215,0.945
Pheidole.littoralis,major,casent0901558,1.451,1.484,0.63,0.18,0.2,0.954
Pheidole.littoralis,major,fmnhins0000062820,1.2465,1.358,0.214,0.154,0.162,0.8815
Pheidole.megacephala,worker,antweb1008103,0.551,0.626,0.311,0.133,0.132,0.81
Pheidole.megacephala,worker,casent0059654,0.554,0.614,0.335,0.135,,0.818
Pheidole.megacephala,worker,casent0103307,0.624,0.653,0.4,0.149,0.125,0.708
Pheidole.megacephala,worker,casent0171092,0.566,0.637,0.343,0.137,0.132,0.857
Pheidole.megacephala,worker,casent0235976,0.624,0.667,0.366,0.138,0.15,0.941
Pheidole.megacephala,worker,casent0056016,0.5735,0.63,0.178,0.129,0.132,0.831
Pheidole.megacephala,major,casent0101560,1.517,1.35,0.708,0.207,0.205,1.27
Pheidole.megacephala,major,casent0104408,1.381,1.295,0.612,0.188,0.188,1.226
Pheidole.megacephala,major,csironc0178,0.951,0.91,0.479,0.135,0.123,0.878
Pheidole.megacephala,major,fmnhins0000078505,1.276,1.21,0.59,0.176,0.166,1.087
Pheidole.megacephala,major,casent0063124,1.2935,1.298,0.2655,0.137,0.135,1.085
Pheidole.metallescens,worker,casent0904444,0.407,0.448,0.238,0.1,0.104,0.569
Pheidole.metallescens,worker,casent0104412,0.4115,0.484,0.385,0.1,0.101,0.5535
Pheidole.metallescens,major,casent0104411,0.8605,0.876,0.154,0.126,0.125,0.7605
Pheidole.morrisii,worker,casent0908229,0.622,0.723,0.42,0.186,0.181,1.043
Pheidole.morrisii,worker,casent0908231,0.704,0.752,0.481,0.188,0.212,1.177
Pheidole.morrisii,worker,casent0917781,0.689,0.781,0.416,0.18,0.173,1.062
Pheidole.morrisii,worker,casent0104416,0.549,0.665,0.1335,0.146,0.144,0.8375
Pheidole.morrisii,major,casent0908228,1.095,1.146,0.582,,0.235,1.208
Pheidole.morrisii,major,casent0908230,1.317,1.251,0.709,0.244,0.216,1.316
Pheidole.morrisii,major,casent0917780,1.274,1.188,0.668,0.225,0.238,1.208
Pheidole.morrisii,major,casent0922217,1.264,1.244,0.643,0.231,0.221,1.313
Pheidole.morrisii,major,casent0104415,1.143,1.215,0.229,0.188,0.193,1.186
Pheidole.moerens,worker,fmnhins0000078506,0.424,0.465,0.228,0.091,0.094,0.513
Pheidole.moerens,worker,casent0005743,0.425,0.479,0.1015,0.088,0.084,0.6445
Pheidole.moerens,major,casent0005742,0.8745,0.896,0.256,0.123,0.127,0.738
Pheidole.obscurithorax,worker,casent0104420,0.629,0.788,0.445,0.188,0.2,1.17
Pheidole.obscurithorax,worker,casent0913312,0.584,0.749,0.442,0.174,0.179,1.148
Pheidole.obscurithorax,worker,casent0178042,0.5575,0.714,0.154,0.147,0.152,1.0595
Pheidole.obscurithorax,major,casent0104419,1.515,1.568,0.872,,0.258,1.726
Pheidole.obscurithorax,major,casent0913311,1.747,1.772,0.973,0.253,0.257,1.517
Pheidole.obscurithorax,major,casent0178041,1.604,1.645,0.386,0.196,0.196,1.5355
Pheidole.tysoni,worker,casent0104454,0.414,0.478,0.257,0.098,0.1,0.602
Pheidole.tysoni,worker,casent0282942,0.454,0.478,0.293,0.098,0.095,0.558
Pheidole.tysoni,worker,casent0908243,0.435,0.483,0.284,0.1,0.078,0.571
Pheidole.tysoni,worker,casent0104427,0.4135,0.456,0.0755,0.085,0.084,0.561
Pheidole.tysoni,major,casent0104426,0.879,0.97,0.423,0.136,0.139,0.845
Pheidole.tysoni,major,casent0104453,0.847,0.912,0.437,0.143,0.124,0.833
Pheidole.tysoni,major,casent0908242,0.959,1.108,0.486,0.128,0.141,0.863
Pheidole.tysoni,major,casent0282947,0.8895,0.958,0.1785,0.113,0.11,0.8
Platythyrea.punctata,worker,casent0003323,1.045,1.293,0.667,0.339,0.285,2.401
Platythyrea.punctata,worker,casent0006088,1.033,1.379,0.58,0.327,0.347,2.284
Platythyrea.punctata,worker,casent0103910,1.044,1.374,0.638,0.358,0.419,2.458
Platythyrea.punctata,worker,fmnhins0000088649,1.006,1.318,0.623,0.333,0.334,2.407
Platythyrea.punctata,worker,casent0006819,1.0145,1.324,0.3705,0.288,0.297,2.147
Pogonomyrmex.badius,worker,casent0103056,1.623,1.658,0.853,0.313,0.338,2.307
Pogonomyrmex.badius,worker,casent0900375,1.35,1.283,0.759,0.298,0.244,1.713
Pogonomyrmex.badius,worker,casent0104423,1.5075,1.589,0.222,0.318,0.315,1.984
Pogonomyrmex.badius,major,casent0103057,3.248,2.752,1.357,0.49,0.494,3.042
Pogonomyrmex.badius,major,casent0281110,3.397,2.799,1.644,0.536,0.548,3.301
Pogonomyrmex.badius,major,casent0104424,3.189,2.68,0.4295,0.472,0.472,3.0035
Ponera.exotica,worker,casent0104432,0.347,0.441,0.202,,,0.633
Ponera.exotica,worker,casent0249231,0.464,0.591,0.29,,,0.801
Ponera.exotica,worker,casent0603539,0.3945,0.526,0.16,0.019,0.012,0.6675
Ponera.pennsylvanica,worker,antweb1038007,0.608,0.739,0.392,,0.046,1.047
Ponera.pennsylvanica,worker,casent0003322,0.576,0.72,0.342,,,1.066
Ponera.pennsylvanica,worker,casent0103897,0.512,0.626,0.311,,0.025,0.949
Ponera.pennsylvanica,worker,casent0249230,0.588,0.724,0.356,,0.038,1.017
Ponera.pennsylvanica,worker,casent0006626,0.558,0.691,0.1415,0.033,0.031,1.006
Prenolepis.imparis,worker,casent0103873,0.894,0.934,0.449,0.266,0.197,1.258
Prenolepis.imparis,worker,casent0106035,0.882,0.86,0.505,0.25,0.246,1.102
Prenolepis.imparis,worker,casent0179611,0.822,0.885,0.448,0.258,0.266,1.203
Prenolepis.imparis,worker,casent0905672,0.787,0.833,0.416,0.241,0.233,1.114
Prenolepis.imparis,worker,casent0102823,0.771,0.855,0.132,0.226,0.224,1.122
Prionopelta.antillana,worker,casent0103911,0.394,0.48,0.204,,0.024,0.602
Prionopelta.antillana,worker,casent0767588,0.374,0.456,0.208,,0.03,0.563
Prionopelta.antillana,worker,casent0767612,0.409,0.499,0.233,,0.023,0.567
Prionopelta.antillana,worker,casent0902630,0.455,0.528,0.252,0.033,0.028,0.704
Prionopelta.antillana,worker,casent0006076,0.432,0.486,0.0775,0.031,0.031,0.6065
Proceratium.chickasaw,worker,casent0104435,0.72,0.839,0.1325,0.018,0.015,1.111
Proceratium.crassicorne,worker,fmnhins0000057119,0.5735,0.656,0.153,0.011,0.012,0.8295
