Genus.Species,Caste,Image CASENT,Head_width,Head_length,Mandible_length,Eye length_1,Eye length_2,Weber_length
Proceratium.crassicorne,worker,casent0104436,0.618,0.651,0.337,,0.023,0.834
Proceratium.crassicorne,worker,casent0903852,0.61,0.615,0.346,,0.033,0.87
Proceratium.creek,worker,casent0105837,0.998,1.196,0.635,0.045,0.045,2.016
Proceratium.creek,worker,casent0104439,0.8725,1.151,0.161,0.026,0.027,1.6625
Proceratium.croceum,worker,casent0104442,0.8285,0.908,0.172,0.018,0.016,1.31
Proceratium.pergandei,worker,casent0903855,0.85,0.946,0.574,0.041,,1.391
Proceratium.pergandei,worker,casent0104443,0.756,0.894,0.1685,0.015,0.017,1.2345
Proceratium.silaceum,worker,casent0235164,0.469,0.502,0.246,,0.023,0.628
Proceratium.silaceum,worker,casent0903853,0.639,0.689,0.371,,0.031,0.8
Proceratium.silaceum,worker,focol0928,0.721,0.739,0.387,,0.029,0.982
Proceratium.silaceum,worker,psw7415-1,1.599,1.671,0.959,,0.035,0.914
Proceratium.silaceum,worker,casent0104234,0.6405,0.688,0.1755,0.033,0.033,0.8005
Pseudomyrmex.cubaensis,worker,casent0104073,0.667,0.966,0.34,0.495,0.463,1.287
Pseudomyrmex.cubaensis,worker,casent0173759,0.802,1.15,0.407,0.618,0.537,1.466
Pseudomyrmex.cubaensis,worker,casent0907536,0.645,0.888,0.344,0.466,0.484,1.295
Pseudomyrmex.cubaensis,worker,fmnhins0000088650,0.637,0.917,0.313,0.472,0.449,1.246
Pseudomyrmex.cubaensis,worker,casent0005871,0.666,1.01,0.0815,0.503,0.496,1.3275
Pseudomyrmex.ejectus,worker,casent0102683,0.688,0.872,0.287,0.467,0.489,1.277
Pseudomyrmex.ejectus,worker,casent0104280,0.618,0.797,0.289,0.43,0.429,1.119
Pseudomyrmex.ejectus,worker,casent0104314,0.653,0.839,0.278,0.442,0.413,1.122
Pseudomyrmex.ejectus,worker,casent0902894,0.669,0.85,,0.459,0.484,1.181
Pseudomyrmex.ejectus,worker,fmnhins0000088651,0.655,0.829,0.364,0.437,0.435,1.154
Pseudomyrmex.ejectus,worker,casent0102684,0.648,0.871,0.1145,0.459,0.467,1.127
Pseudomyrmex.elongatus,worker,casent0103868,0.581,0.855,0.288,0.472,0.437,1.014
Pseudomyrmex.elongatus,worker,casent0173750,0.609,0.982,0.307,0.553,0.505,1.204
Pseudomyrmex.elongatus,worker,casent0907537,0.53,0.732,0.286,0.449,0.483,1.091
Pseudomyrmex.elongatus,worker,fmnhins0000078507,0.582,0.848,0.313,0.463,0.48,1.191
Pseudomyrmex.elongatus,worker,casent0005874,0.546,0.785,0.0375,0.442,0.44,1.0015
Pseudomyrmex.gracilis,worker,casent0103874,1.347,1.573,0.614,0.935,1.025,2.587
Pseudomyrmex.gracilis,worker,casent0106097,1.567,1.851,0.815,1.115,1.084,2.784
Pseudomyrmex.gracilis,worker,casent0907478,1.273,1.494,0.603,0.917,0.891,2.255
Pseudomyrmex.gracilis,worker,fmnhins0000078508,1.257,1.475,0.646,0.837,0.912,2.281
Pseudomyrmex.gracilis,worker,casent0005838,1.3265,1.381,0.192,0.92,0.926,2.4095
Pseudomyrmex.leptosus,workerless parasite,casent0902896,0.648,0.857,0.0655,0.388,0.387,1.3695
Pseudomyrmex.pallidus,worker,casent0103890,0.711,0.909,0.328,0.481,0.431,1.189
Pseudomyrmex.pallidus,worker,casent0246350,0.666,0.866,0.307,0.442,0.413,1.159
Pseudomyrmex.pallidus,worker,casent0902900,0.719,0.95,0.348,0.454,0.455,1.348
Pseudomyrmex.pallidus,worker,fmnhins0000078509,0.676,0.888,0.365,0.475,0.469,1.252
Pseudomyrmex.pallidus,worker,casent0005441,0.642,0.85,0.145,0.403,0.403,1.1325
Pseudomyrmex.seminole,worker,casent0902898,0.803,1.016,0.354,0.487,0.532,1.503
Pseudomyrmex.seminole,worker,fmnhins0000078510,1.169,1.082,0.437,0.512,0.497,1.487
Pseudomyrmex.seminole,worker,casent0103884,0.8785,1.158,0.1135,0.5,0.497,1.4625
Pseudomyrmex.simplex,worker,casent0104281,0.616,0.784,0.257,0.424,0.439,1.151
Pseudomyrmex.simplex,worker,casent0902902,0.668,0.842,0.281,0.462,0.451,1.265
Pseudomyrmex.simplex,worker,casent0907489,0.572,0.747,0.256,0.405,0.4,1.055
Pseudomyrmex.simplex,worker,fmnhins0000078520,0.639,0.812,0.264,0.435,0.437,1.157
Pseudomyrmex.simplex,worker,MCZ_ENT_Pseudomyrmex_simplex,0.7185,0.97,0.081,,0.503,1.4595
Pseudoneoponera.stigma,worker,casent0104187,0.977,1.015,0.581,,0.056,1.481
Pseudoneoponera.stigma,worker,casent0171132,1.185,1.232,0.752,0.093,0.082,1.884
Pseudoneoponera.stigma,worker,casent0249159,1.136,1.158,0.72,,0.079,1.825
Pseudoneoponera.stigma,worker,casent0907287,1.071,1.118,0.717,,0.074,1.817
Pseudoneoponera.stigma,worker,casent0178392,1.182,1.251,0.407,0.075,0.061,1.809
Solenopsis.carolinensis,worker,casent0104497,0.274,0.332,0.148,0.033,0.032,0.372
Solenopsis.carolinensis,worker,casent0902335,0.331,0.401,0.207,0.046,0.042,0.427
Solenopsis.carolinensis,worker,casent0908858,0.329,0.401,0.186,,0.04,0.45
Solenopsis.carolinensis,worker,fmnhins0000078523,0.292,0.386,,0.033,0.031,0.372
Solenopsis.carolinensis,worker,casent0010696,0.3855,0.482,0.064,0.048,0.047,0.5195
Solenopsis.geminata,worker,casent0104522,0.75,0.84,0.435,0.139,0.148,1.103
Solenopsis.geminata,worker,casent0104933,1.015,1.083,0.581,0.164,0.135,1.182
Solenopsis.geminata,worker,casent0913897,0.651,0.766,0.361,0.148,0.157,1.052
Solenopsis.geminata,worker,casent0917011,0.62,0.682,0.332,0.123,0.136,0.899
Solenopsis.geminata,worker,fmnhins0000078513,0.648,0.712,0.355,0.156,0.135,0.886
Solenopsis.geminata,worker,casent0104934,0.6825,0.776,0.0885,0.117,0.124,0.9305
Solenopsis.geminata,major,casent0063125,1.257,1.282,0.691,0.19,0.178,1.462
Solenopsis.geminata,major,casent0104521,1.684,1.547,0.66,0.184,0.199,1.627
Solenopsis.geminata,major,casent0178424,1.042,1.156,0.501,0.176,0.176,1.421
Solenopsis.geminata,major,casent0908794,1.732,1.574,0.72,,0.203,1.399
Solenopsis.geminata,major,casent0102966,1.167,1.209,0.2225,0.155,0.158,1.4205
Solenopsis.globularia,worker,casent0104501,0.446,0.573,0.241,0.099,0.088,0.76
Solenopsis.globularia,worker,casent0104814,0.387,0.497,0.211,,0.093,0.659
Solenopsis.globularia,worker,casent0908833,0.375,0.457,0.209,0.071,0.066,0.533
Solenopsis.globularia,worker,fmnhins0000078524,0.438,0.519,0.206,0.078,0.075,0.606
Solenopsis.globularia,worker,casent0173279,0.473,0.585,0.062,0.096,0.096,0.7785
Solenopsis.invicta,worker,casent0005804,1.352,1.367,0.65,0.245,0.248,1.708
Solenopsis.invicta,worker,casent0104523,1.1,1.184,0.588,0.201,0.196,1.565
Solenopsis.invicta,worker,casent0178134,1.169,1.194,0.562,0.201,0.213,1.611
Solenopsis.invicta,worker,casent0902350,1.374,1.359,0.782,0.301,0.289,1.982
Solenopsis.invicta,worker,casent0913949,1.344,1.334,0.733,0.225,0.219,1.83
Solenopsis.invicta,worker,casent0178135,0.889,1.031,0.0885,0.155,0.155,1.388
Solenopsis.nickersoni,worker,CASENT0104505,0.293,0.404,0.17,0.048,0.048,0.418
Solenopsis.picta,worker,casent0105664,0.324,0.368,0.188,0.041,0.042,0.432
Solenopsis.picta,worker,casent0904629,0.345,0.378,0.17,,0.049,0.47
Solenopsis.picta,worker,casent0104509,0.3925,0.467,0.054,0.043,0.046,0.56
Solenopsis.pergandei,worker,casent0103157,0.454,0.497,0.274,,0.029,0.556
Solenopsis.pergandei,worker,casent0105855,0.5,0.547,0.294,,0.035,0.665
Solenopsis.pergandei,worker,fmnhins0000049898,0.476,0.525,0.292,,0.029,0.609
Solenopsis.pergandei,worker,fmnhins0000078525,0.376,0.446,0.221,0.036,0.03,0.483
Solenopsis.pergandei,worker,CASENT0104506,0.33,0.406,0.196,0.034,0.034,0.51
Solenopsis.tennessensis,worker,casent0104524,0.26,0.353,0.156,,0.03,0.382
Solenopsis.tennessensis,worker,CASENT0911149,0.305,0.404,0.169,0.021,0.021,0.429
Stenamma.foveolocephalum,worker,casent0105665,0.907,0.951,0.563,0.159,0.151,1.321
Stenamma.foveolocephalum,worker,casent0104515,0.9795,1.156,0.2755,0.196,0.195,1.245
Stenamma.impar,worker,casent0907679,0.608,0.697,0.377,,0.114,0.954
Stenamma.impar,worker,casent0923373,0.517,0.622,0.318,0.064,0.078,0.762
Stenamma.impar,worker,casent0104795,0.6015,0.71,0.178,0.091,0.009,0.8255
Stigmatomma.pallipes,worker,casent0102903,1.039,1.154,0.895,,0.039,1.711
Stigmatomma.pallipes,worker,casent0103551,0.965,1.035,0.83,0.049,0.048,1.577
Stigmatomma.pallipes,worker,casent0104569,1.226,1.293,,1.029,0.058,1.929
Stigmatomma.pallipes,worker,fmnhins0000045022,1.048,1.139,0.864,,,1.559
Stigmatomma.pallipes,worker,casent0005434,1.168,1.17,0.543,0.041,0.041,1.7595
Strumigenys.abdita,worker,casent0104279,0.415,0.564,0.105,0.025,0.026,0.61
Strumigenys.angulata,worker,casent0105657,0.444,0.505,0.187,,,0.61
Strumigenys.angulata,worker,casent0103891,0.44,0.596,0.175,0.03,0.026,0.61
Strumigenys.apalachicolensis,worker,CASENT0103886,0.35,0.533,0.087,,,0.5
Strumigenys.archboldi,worker,casent0104339,0.371,0.523,0.162,,,0.524
Strumigenys.archboldi,worker,casent0914679,0.392,0.548,0.172,,0.04,0.569
Strumigenys.archboldi,worker,casent0900175,0.37,0.544,0.095,0.036,0.036,0.51
Strumigenys.boltoni,worker,casent0172983,0.334,0.514,0.098,,0.27,0.444
Strumigenys.boltoni,worker,casent0172984,0.338,0.505,0.122,,0.028,0.52
Strumigenys.brevisetosa,worker,casent0104482,0.37,0.534,0.164,0.049,0.054,0.648
Strumigenys.bunki,worker,casent0900165,0.379,0.525,0.128,,,0.554
Strumigenys.bunki,worker,casent0104336,0.38,0.542,0.1,0.036,0.037,0.525
Strumigenys.carolinensis,worker,casent0104341,0.4,0.51,0.13,0.025,0.022,0.56
Strumigenys.cloydi,worker,casent0104334,0.372,0.548,0.137,,0.042,0.565
Strumigenys.cloydi,worker,casent0747001,0.387,0.577,0.167,,0.059,0.691
Strumigenys.cloydi,worker,casent0747017,0.389,0.534,0.152,,0.041,0.622
Strumigenys.cloydi,worker,casent0900173,0.37,0.542,0.135,,0.04,0.548
Strumigenys.clypeata,worker,focol2174,0.411,0.565,0.16,,0.031,0.63
Strumigenys.clypeata,worker,casent0103000,0.4,0.493,0.095,0.044,0.044,0.575
Strumigenys.creightoni,worker,casent0102540,0.369,0.547,0.131,0.037,0.052,0.622
Strumigenys.creightoni,worker,casent0281181,0.366,0.527,0.137,,,0.571
Strumigenys.creightoni,worker,casent0900170,0.388,0.543,0.137,,0.04,0.596
Strumigenys.creightoni,worker,casent0104332,0.385,0.505,0.105,0.045,0.042,0.56
Strumigenys.talpa,worker,casent0102557,0.387,0.576,0.132,,0.042,0.581
Strumigenys.talpa,worker,casent0103123,0.405,0.589,0.134,,,0.584
Strumigenys.talpa,worker,casent0900171,0.326,0.477,0.119,,,0.557
Strumigenys.talpa,worker,casent0104490,0.375,0.543,0.095,0.039,0.037,0.545
Strumigenys.talpa,worker,casent0103172,0.33,0.5,0.09,0.033,0.033,0.48
Strumigenys.dietrichi,worker,casent0104200,0.314,0.472,0.169,,0.038,0.535
Strumigenys.dietrichi,worker,fmnhins0000078521,0.353,0.503,0.148,,0.042,0.539
Strumigenys.dietrichi,worker,casent0103821,0.37,0.566,0.08,0.05,0.045,0.555
Strumigenys.eggersi,worker,casent0178118,0.368,0.437,0.285,,0.033,0.413
Strumigenys.eggersi,worker,casent0625429,0.362,0.404,0.272,,0.042,0.451
Strumigenys.eggersi,worker,casent0904936,0.371,0.403,0.313,,0.039,0.481
Strumigenys.eggersi,worker,fmnhins0000078511,0.353,0.399,0.267,,0.043,0.452
Strumigenys.eggersi,worker,casent0103845,0.345,0.488,0.255,0.029,0.03,0.43
Strumigenys.emmae,worker,casent0060342,0.357,0.412,0.129,,0.022,0.403
Strumigenys.emmae,worker,casent0102082,0.348,0.401,0.135,,,0.423
Strumigenys.emmae,worker,casent0104133,0.319,0.372,0.119,,0.017,0.451
Strumigenys.emmae,worker,fmnhins0000078526,0.352,0.396,0.144,,0.021,0.446
Strumigenys.emmae,worker,casent0005894,0.36,0.408,0.135,0.022,0.022,0.44
Strumigenys.epinotalis,worker,casent0900217,0.414,0.492,0.17,0.075,0.075,0.54
Strumigenys.gundlachi,worker,casent0106238,0.379,0.435,0.303,,0.039,0.495
Strumigenys.gundlachi,worker,casent0900176,0.396,0.481,0.35,,,0.519
Strumigenys.gundlachi,worker,casent0912854,0.364,0.397,0.298,,0.031,0.444
Strumigenys.gundlachi,worker,casent0915948,0.387,0.447,0.322,,0.037,0.485
Strumigenys.gundlachi,worker,casent0103867,0.38,0.414,0.3,0.033,0.033,0.475
Strumigenys.hexamera,worker,casent0100720,0.564,0.492,0.292,,,0.616
Strumigenys.hexamera,worker,casent0103819,0.54,0.443,0.2,0.023,0.024,0.585
Strumigenys.inopina QUEEN ONLY,queen,casent0103838,0.616,0.555,0.1755,0.112,0.112,0.6625
Strumigenys.laevinasis,worker,casent0104198,0.332,0.457,0.152,0.031,0.033,0.584
Strumigenys.laevinasis,worker,casent0104472,0.44,0.552,0.115,0.037,0.035,0.65
Strumigenys.lanuginosa,worker,antweb1032495,0.455,0.515,0.344,0.056,0.066,0.611
Strumigenys.lanuginosa,worker,casent0105875,0.47,0.509,0.368,0.065,0.064,0.717
Strumigenys.lanuginosa,worker,casent0178644,0.457,0.511,0.369,,0.073,0.68
Strumigenys.lanuginosa,worker,casent0914741,0.448,0.498,0.351,,0.056,0.707
Strumigenys.lanuginosa,worker,casent0104517,0.46,0.551,0.35,0.056,0.055,0.61
Strumigenys.louisianae,worker,antweb1032160,0.461,0.561,0.427,,0.049,0.607
Strumigenys.louisianae,worker,casent0003321,0.431,0.435,0.271,0.063,0.058,0.545
Strumigenys.louisianae,worker,casent0104527,0.472,0.502,0.308,0.068,0.064,0.605
Strumigenys.louisianae,worker,casent0914505,0.494,0.507,0.313,0.074,0.075,0.64
Strumigenys.louisianae,worker,antweb1038235,0.46,0.424,0.355,0.044,0.044,0.595
Strumigenys.margaritae,worker,casent0900216,0.39,0.506,0.141,,0.077,0.553
Strumigenys.margaritae,worker,casent0909341,0.342,0.453,0.126,0.063,0.058,0.609
Strumigenys.margaritae,worker,casent0914601,0.451,0.586,0.163,0.088,0.079,0.54
Strumigenys.margaritae,worker,casent0104473,0.39,0.573,0.11,0.063,0.069,0.52
Strumigenys.membranifera,worker,casent0023769,0.39,0.424,0.123,,,0.493
Strumigenys.membranifera,worker,casent0104518,0.413,0.441,0.133,,0.029,0.538
Strumigenys.membranifera,worker,casent0171134,0.393,0.432,0.12,,0.029,0.506
Strumigenys.membranifera,worker,casent0173252,0.415,0.447,0.136,,0.042,0.537
Strumigenys.membranifera,worker,casent0133285,0.42,0.443,0.09,0.02,0.02,0.515
Strumigenys.missouriensis,worker,casent0104475,0.369,0.522,0.117,,,0.518
Strumigenys.missouriensis,worker,casent0104893,0.4,0.505,0.09,0.035,0.036,0.57
Strumigenys.ornata,worker,casent0900174,0.369,0.518,0.128,,0.037,0.547
Strumigenys.ornata,worker,casent0915951,0.347,0.494,0.109,,0.055,0.549
Strumigenys.ornata,worker,casent0104478,0.365,0.496,0.07,0.029,0.032,0.54
Strumigenys.pilinasis,worker,casent0104477,0.414,0.562,0.181,,,0.681
Strumigenys.pilinasis,worker,casent0105668,0.42,0.553,0.19,,0.06,0.66
Strumigenys.pilinasis,worker,casent0909339,0.402,0.544,0.175,,,0.6
Strumigenys.pilinasis,worker,,0.445,,0.14,0.047,0.047,0.62
Strumigenys.pulchella,worker,casent0104483,0.365,0.526,0.085,0.035,0.035,0.56
Strumigenys.reflexa,worker,casent0900168,0.403,0.527,0.166,,,0.564
Strumigenys.reflexa,worker,casent0104485,0.4,0.523,0.08,0.03,0.03,0.54
Strumigenys.rogeri,worker,casent0060341,0.413,0.497,0.308,0.057,0.059,0.608
Strumigenys.rogeri,worker,casent0102080,0.455,0.535,0.366,0.066,0.048,0.589
Strumigenys.rogeri,worker,casent0104529,0.419,0.501,0.304,0.056,0.051,0.577
Strumigenys.rogeri,worker,casent0914774,0.447,0.52,0.319,0.056,0.051,0.564
Strumigenys.rogeri,worker,casent0005897,0.47,0.525,0.35,0.046,0.051,0.62
Strumigenys.rostrata,worker,casent0900164,0.48,0.699,0.192,,,0.746
Strumigenys.rostrata,worker,casent0904955,0.487,0.686,0.176,,0.075,0.77
Strumigenys.rostrata,worker,focol2172,0.452,0.664,0.159,,,0.702
Strumigenys.rostrata,worker,casent0104486,0.445,0.619,0.12,0.048,0.048,0.65
Strumigenys.silvestrii,worker,casent0104531,0.356,0.409,0.263,,0.027,0.471
Strumigenys.silvestrii,worker,casent0900476,0.349,0.421,0.25,,,0.507
Strumigenys.silvestrii,worker,casent0904937,0.371,0.425,0.271,,,0.497
Strumigenys.silvestrii,worker,fmnhins0000078527,0.342,0.4,0.251,,0.018,0.468
Strumigenys.silvestrii,worker,casent0178128,0.35,0.385,0.24,0.025,0.027,0.43
Strumigenys.wrayi,worker,casent0104491,0.375,0.571,0.08,,,0.53
Tapinoma.litorale,worker,casent0104532,0.457,0.496,0.216,0.107,0.092,0.436
Tapinoma.litorale,worker,casent0249762,0.46,0.479,0.216,0.115,0.115,0.564
Tapinoma.litorale,worker,fmnhins0000078515,0.475,0.498,0.249,0.126,0.109,0.585
Tapinoma.litorale,worker,casent0249763,0.51,0.524,0.134,0.091,0.096,0.615
Tapinoma.melanocephalum,worker,casent0005325,0.404,0.457,0.191,0.116,0.115,0.496
Tapinoma.melanocephalum,worker,casent0008659,0.378,0.446,0.171,0.11,0.113,0.541
Tapinoma.melanocephalum,worker,casent0171078,0.401,0.461,0.224,0.108,0.11,0.565
Tapinoma.melanocephalum,worker,fmnhins0000078516,0.411,0.482,0.226,0.124,0.115,0.536
Tapinoma.melanocephalum,worker,casent0104536,0.43,0.498,0.0825,0.123,0.124,0.541
Tapinoma.sessile,worker,casent0104535,0.715,0.737,0.315,0.208,0.198,0.959
Tapinoma.sessile,worker,casent0172857,0.544,0.612,0.305,0.139,0.152,0.761
Tapinoma.sessile,worker,casent0923117,0.508,0.604,0.257,0.146,0.172,0.72
Tapinoma.sessile,worker,jtlc000014295,0.848,0.809,0.382,0.202,0.181,0.977
Tapinoma.sessile,worker,casent0005329,0.6805,0.746,0.143,0.187,0.191,0.924
Technomyrmex.difficilis,worker,casent0003175,0.604,0.624,0.274,0.15,0.147,0.746
Technomyrmex.difficilis,worker,casent0003318,0.533,0.572,0.238,0.159,0.159,0.818
Technomyrmex.difficilis,worker,casent0101079,0.554,0.579,0.29,0.148,0.152,0.767
Technomyrmex.difficilis,worker,fmnhins0000078517,0.565,0.6,0.251,0.159,0.166,0.857
Technomyrmex.difficilis,worker,casent0171131,0.7475,0.8,0.162,0.196,0.198,0.691
Temnothorax.allardycei,worker,casent0105614,0.435,0.49,0.198,0.132,0.185,0.931
Temnothorax.allardycei,worker,fmnhins0000088652,0.634,0.714,0.277,0.188,0.184,0.857
Temnothorax.allardycei,worker,casent0104009,0.656,0.736,0.103,0.172,0.173,0.851
Temnothorax.bradleyi,worker,casent0105869,0.811,0.823,0.425,0.168,0.135,1.009
Temnothorax.bradleyi,worker,casent0104011,0.6515,0.751,0.096,0.124,0.118,0.968
Temnothorax.curvispinosus,worker,casent0003234,0.437,0.519,0.224,0.126,0.135,0.612
Temnothorax.curvispinosus,worker,casent0104040,0.539,0.636,0.265,,0.139,0.764
Temnothorax.curvispinosus,worker,casent0901789,0.519,0.557,0.284,0.157,0.157,0.753
Temnothorax.curvispinosus,worker,casent0919744,0.402,0.464,0.19,0.122,0.126,0.566
Temnothorax.curvispinosus,worker,casent0104032,0.487,0.564,0.0855,0.123,0.121,0.7005
Temnothorax.palustris,worker,casent0104045,0.503,0.648,0.086,0.124,0.124,0.773
Temnothorax.pergandei,worker,casent0104016,0.627,0.727,0.327,0.177,0.161,0.922
Temnothorax.pergandei,worker,casent0104027,0.591,0.678,0.341,0.159,0.141,0.972
Temnothorax.pergandei,worker,casent0172994,0.669,0.742,0.342,0.182,0.171,0.992
Temnothorax.pergandei,worker,casent0904768,0.609,0.703,0.347,0.16,0.171,0.967
Temnothorax.pergandei,worker,fmnhins0000088653,0.591,0.687,0.364,0.169,0.166,0.949
Temnothorax.pergandei,worker,casent0102842,0.6175,0.733,0.1035,0.178,0.183,0.9465
Temnothorax.schaumii,worker,casent0104050,0.641,0.718,0.285,0.167,0.159,0.874
Temnothorax.schaumii,worker,casent0909059,0.622,0.708,0.308,0.161,0.143,0.843
Temnothorax.schaumii,worker,casent0919745,0.486,0.541,0.215,0.125,0.11,0.666
Temnothorax.schaumii,worker,casent0104047,0.4515,0.573,0.0635,0.12,0.119,0.7725
Temnothorax.smithi,worker,casent0105866,0.929,0.987,0.47,0.206,0.143,1.143
Temnothorax.smithi,worker,casent0104053,0.887,1.017,0.119,0.174,0.164,1.033
Temnothorax.texanus,worker,casent0923379,0.466,0.571,0.281,0.126,0.135,0.725
Temnothorax.texanus,worker,casent0104063,0.4325,0.572,0.08,0.114,0.118,0.728
Temnothorax.torrei,worker,casent0104057,0.394,0.498,0.197,0.107,0.111,0.604
Temnothorax.torrei,worker,casent0104776,0.352,0.47,0.176,0.095,0.095,0.484
Temnothorax.torrei,worker,mczent00016562,0.413,0.523,0.205,0.116,0.093,0.552
Temnothorax.torrei,worker,mczent00583611,0.416,0.515,0.197,0.112,0.109,0.561
Temnothorax.torrei,worker,fmnhins0000088654,0.407,0.51,0.0375,0.103,0.102,0.5405
Tetramorium.bicarinatum,worker,casent0059100,0.783,0.875,0.452,0.208,0.228,1.215
Tetramorium.bicarinatum,worker,casent0060334,0.803,0.919,0.465,0.219,0.223,1.156
Tetramorium.bicarinatum,worker,casent0102737,0.894,0.996,0.505,0.239,0.238,1.26
Tetramorium.bicarinatum,worker,casent0171032,0.727,0.82,0.406,0.209,0.218,1.068
Tetramorium.bicarinatum,worker,casent0005826,0.735,0.862,0.183,0.203,0.214,1.0515
Tetramorium.caldarium,worker,casent0102738,0.462,0.551,0.284,0.131,0.114,0.608
Tetramorium.caldarium,worker,casent0125225,0.488,0.534,0.274,,0.14,0.693
Tetramorium.caldarium,worker,casent0171084,0.459,0.527,0.254,0.121,0.128,0.645
Tetramorium.caldarium,worker,fmnhins0000078518,0.465,0.521,0.247,0.112,0.118,0.627
Tetramorium.caldarium,worker,casent0102333,0.453,0.506,0.107,0.107,0.11,0.6595
Tetramorium.lanuginosum,worker,casent0102740,0.592,0.65,0.333,,0.147,0.755
Tetramorium.lanuginosum,worker,casent0171128,0.633,0.651,0.332,0.146,0.154,0.749
Tetramorium.lanuginosum,worker,casent0173289,0.618,0.67,0.363,,0.129,0.67
Tetramorium.lanuginosum,worker,casent0909094,0.598,0.634,0.323,,0.147,0.727
Tetramorium.lanuginosum,worker,fmnhins0000088655,0.5685,0.631,1.2685,0.123,0.123,0.7285
Tetramorium.simillimum,worker,casent0102742,0.488,0.541,0.27,0.106,0.11,0.606
Tetramorium.simillimum,worker,casent0102937,0.518,0.557,0.277,0.116,0.095,0.628
Tetramorium.simillimum,worker,casent0171034,0.466,0.514,0.245,0.101,0.108,0.601
Tetramorium.simillimum,worker,fmnhins0000088656,0.498,0.561,0.276,0.114,0.117,0.627
Tetramorium.simillimum,worker,casent0102390,0.469,0.519,0.1185,0.099,0.101,0.671
Trachymyrmex.jamaicensis,worker,casent0102743,1.389,1.168,0.669,0.258,0.263,2.135
Trachymyrmex.jamaicensis,worker,casent0909393,1.501,1.259,0.92,0.325,0.294,2.186
Trachymyrmex.jamaicensis,worker,casent0912523,1.541,1.347,0.94,0.322,0.278,2.479
Trachymyrmex.jamaicensis,worker,casent0919971,1.319,1.158,0.4185,0.234,0.226,1.9805
Trachymyrmex.septentrionalis,worker,casent0003337,0.988,0.969,0.558,0.179,0.176,1.389
Trachymyrmex.septentrionalis,worker,casent0919975,1.0305,0.944,0.31,0.165,0.163,1.507
Wasmannia.auropunctata,worker,casent0005064,0.399,0.435,,,0.111,0.465
Wasmannia.auropunctata,worker,casent0005665,0.383,0.407,0.192,0.099,,0.448
Wasmannia.auropunctata,worker,casent0039797,0.413,0.457,0.201,0.103,0.106,0.496
Wasmannia.auropunctata,worker,casent0909212,0.365,0.405,0.184,0.087,0.095,0.447
Wasmannia.auropunctata,worker,casent0097874,0.399,0.423,0.198,0.103,0.112,0.487
Wasmannia.auropunctata,worker,casent0097874,0.3945,0.425,0.0795,0.082,0.082,0.4795
Xenomyrmex.floridanus,worker,casent0000499,0.428,0.481,0.162,0.095,0.088,0.539
Xenomyrmex.floridanus,worker,casent0104541,0.466,0.544,0.205,0.106,0.083,0.61
Xenomyrmex.floridanus,worker,casent0106053,0.411,0.475,0.174,0.097,0.096,0.548
Xenomyrmex.floridanus,worker,casent0904614,0.429,0.484,0.201,0.099,0.089,0.576
Xenomyrmex.floridanus,worker,fmnhins0000078519,0.416,0.47,0.06,0.073,0.072,0.578