SPECIES,biomass_indiv
Anochetus mayri,
Aphaenogaster ashmeadi,0.64
Aphaenogaster carolinensis,
Aphaenogaster flemingi,1.22
Aphaenogaster floridana,0.64
Aphaenogaster fulva,
Aphaenogaster lamellidens,1.25
Aphaenogaster mariae,
Aphaenogaster miamiana,
Aphaenogaster picea,
Aphaenogaster rudis,
Aphaenogaster tennesseensis,
Aphaenogaster treatae,0.76
Brachymyrmex depilis,0.01
Brachymyrmex minutus,
Brachymyrmex obscurior,
Brachymyrmex patagonicus,
Brachyponera chinensis,
Camponotus americanus,
Camponotus castaneus,5.86
Camponotus chromaiodes,
Camponotus decipiens,
Camponotus discolor,1.28
Camponotus floridanus,3.46
Camponotus nearcticus,5.8
Camponotus pennsylvanicus,
Camponotus sexguttatus,
Camponotus snellingi,
Camponotus socius,5.9
Camponotus subbarbatus,
Cardiocondyla emeryi,0.03
Cardiocondyla mauritanica,0.03
Cardiocondyla minutior,
Cardiocondyla nuda,0.03
Cardiocondyla obscurior,
Cardiocondyla venustula,
Cardiocondyla wroughtonii,0.03
Cephalotes varians,
Colobopsis impressa,
Colobopsis mississippiensis,
Crematogaster ashmeadi,0.16
Crematogaster atkinsoni,
Crematogaster laeviuscula,
Crematogaster lineolata,0.2
Crematogaster minutissima,0.11
Crematogaster pilosa,0.42
Crematogaster pinicola,
Crematogaster vermiculata,
Cryptopone gilva,
Cyphomyrmex minutus,0.14
Cyphomyrmex rimosus,0.16
Discothyrea testacea,
Dolichoderus mariae,
Dolichoderus plagiatus,
Dolichoderus pustulatus,
Dorymyrmex bossutus,0.12
Dorymyrmex bureni,0.19
Dorymyrmex elegans,0.19
Dorymyrmex flavus,
Dorymyrmex grandulus,0.12
Dorymyrmex insanus,0.28
Dorymyrmex reginicula,0.23
Eurhopalothrix floridana,0.14
Forelius mccooki,0.1
Forelius pruinosus,0.06
Formica archboldi,1.7
Formica dolosa,2.06
Formica exsectoides,
Formica fusca,1.69
Formica incerta,
Formica pallidefulva,1.72
Formica subintegra,
Formica subsericea,5.34
Gnamptogenys triangularis,
Hypoponera inexorata,0.07
Hypoponera opaciceps,0.07
Hypoponera opacior,0.07
Hypoponera punctatissima,0.12
Lasius alienus,0.28
Lasius americanus,
Lasius aphidicola,
Lasius nearcticus,
Lasius neoniger,
Lasius umbratus,0.65
Linepithema humile,0.15
Monomorium ebeninum,
Monomorium minimum,
Monomorium pharaonis,0.08
Monomorium viridum,0.037
Myrmecina americana,0.268
Myrmelachista ramulorum,
Myrmica americana,
Myrmica fracticornis,
Myrmica latifrons,
Myrmica pinetorum,
Myrmica punctiventris,
Myrmica spatulata,
Neivamyrmex carolinensis,0.15
Neivamyrmex nigrescens,
Neivamyrmex opacithorax,0.21
Neivamyrmex texanus,0.56
Nylanderia arenivaga,0.09
Nylanderia bourbonica,0.05
Nylanderia concinna,0.08
Nylanderia faisonensis,0.05
Nylanderia fulva,
Nylanderia parvula,0.05
Nylanderia phantasma,0.09
Nylanderia pubens,
Nylanderia steinheili,
Nylanderia trageri,
Nylanderia vividula,
Nylanderia wojciki,0.04
Ochetellus glaber,
Odontomachus brunneus,2.6
Odontomachus haematodus,
Odontomachus relictus,1.81
Odontomachus ruginodis,1.85
Paratrechina longicornis,0.12
Pheidole adrianoi,0.03
Pheidole bicarinata,
Pheidole bilimeki,
Pheidole crassicornis,
Pheidole dentata,0.08
Pheidole dentigula,0.03
Pheidole diversipilosa,
Pheidole flavens,0.03
Pheidole floridana,0.03
Pheidole lamia,
Pheidole megacephala,0.44
Pheidole metallescens,0.04
Pheidole morrisii,0.18
Pheidole navigans,
Pheidole obscurithorax,
Pheidole pilifera,
Platythyrea punctata,1.69
Pogonomyrmex badius,2.78
Polyergus longicornis,
Polyergus lucidus,
Polyergus ruber,
Ponera exotica,0.06
Ponera pennsylvanica,
Poneracantha triangularis,
Prenolepis imparis,0.46
Prionopelta antillana,
Proceratium crassicorne,
Proceratium croceum,
Proceratium pergandei,0.21
Proceratium silaceum,
Pseudomyrmex ejectus,0.4
Pseudomyrmex elongatus,0.4
Pseudomyrmex gracilis,1.35
Pseudomyrmex pallidus,0.4
Pseudoponera stigma,
Solenopsis carolinensis,
Solenopsis geminata,0.33
Solenopsis globularia,0.08
Solenopsis invicta,0.36
Solenopsis molesta,
Solenopsis pergandei,0.03
Solenopsis picta,0.02
Solenopsis richteri,
Solenopsis tennesseensis,0.01
Solenopsis texana,
Solenopsis tonsa,0.01
Stenamma brevicorne,
Stenamma diecki,
Stenamma impar,
Stenamma meridionale,
Stenamma schmittii,
Stigmatomma pallipes,0.616
Strumigenys apalachicolensis,
Strumigenys bunki,0.02
Strumigenys cloydi,
Strumigenys clypeata,0.02
Strumigenys creightoni,0.03
Strumigenys dietrichi,0.02
Strumigenys eggersi,0.02
Strumigenys emmae,0.05
Strumigenys epinotalis,
Strumigenys hexamera,
Strumigenys laevinasis,
Strumigenys louisianae,0.05
Strumigenys margaritae,
Strumigenys membranifera,0.04
Strumigenys memorialis,
Strumigenys missouriensis,
Strumigenys ornata,
Strumigenys pergandei,
Strumigenys pilinasis,
Strumigenys pulchella,
Strumigenys rohweri,
Strumigenys rostrata,
Strumigenys talpa,0.02
Tapinoma litorale,
Tapinoma melanocephalum,
Tapinoma sessile,0.15
Technomyrmex difficilis,
Temnothorax allardycei,
Temnothorax ambiguus,
Temnothorax americanus,
Temnothorax bradleyi,0.16
Temnothorax curvispinosus,
Temnothorax duloticus,
Temnothorax longispinosus,
Temnothorax palustris,0.14
Temnothorax pergandei,0.17
Temnothorax schaumii,
Temnothorax smithi,
Temnothorax texanus,0.14
Temnothorax tuscaloosae,
Tetramorium bicarinatum,
Tetramorium immigrans,0.44
Tetramorium simillimum,0.06
Trachymyrmex jamaicensis,
Trachymyrmex septentrionalis,0.38
Wasmannia auropunctata,0.05
Xenomyrmex floridanus,0.03