SPECIES,poly_id
Anochetus mayri,0
Aphaenogaster ashmeadi,0
Aphaenogaster carolinensis,0
Aphaenogaster flemingi,0
Aphaenogaster floridana,0
Aphaenogaster fulva,0
Aphaenogaster lamellidens,0
Aphaenogaster mariae,0
Aphaenogaster miamiana,0
Aphaenogaster picea,0
Aphaenogaster rudis,0
Aphaenogaster tennesseensis,0
Aphaenogaster texana,0
Aphaenogaster treatae,0
Aphaenogaster umphreyi,0
Brachymyrmex depilis,0
Brachymyrmex minutus,0
Brachymyrmex obscurior,0
Brachymyrmex patagonicus,0
Brachyponera chinensis,0
Camponotus americanus,1
Camponotus caryae,1
Camponotus castaneus,1
Camponotus chromaiodes,1
Camponotus decipiens,1
Camponotus discolor,1
Camponotus floridanus,1
Camponotus inaequalis,1
Camponotus nearcticus,1
Camponotus noveboracensis,1
Camponotus novogranadensis,1
Camponotus pennsylvanicus,1
Camponotus planatus,1
Camponotus sansabeanus,1
Camponotus sexguttatus,1
Camponotus snellingi,1
Camponotus socius,1
Camponotus subbarbatus,1
Cardiocondyla emeryi,0
Cardiocondyla mauritanica,0
Cardiocondyla minutior,0
Cardiocondyla nuda,0
Cardiocondyla obscurior,0
Cardiocondyla venustula,0
Cardiocondyla wroughtonii,0
Cephalotes varians,1
Colobopsis impressa,1
Colobopsis mississippiensis,1
Colobopsis obliqua,1
Colobopsis riehlii,1
Crematogaster ashmeadi,0
Crematogaster atkinsoni,0
Crematogaster cerasi,0
Crematogaster laeviuscula,0
Crematogaster lineolata,0
Crematogaster minutissima,0
Crematogaster missouriensis,0
Crematogaster obscurata,0
Crematogaster parapilosa,0
Crematogaster pilosa,0
Crematogaster pinicola,0
Crematogaster vermiculata,0
Cryptopone gilva,0
Cyphomyrmex minutus,0
Cyphomyrmex rimosus,0
Discothyrea testacea,0
Dolichoderus mariae,0
Dolichoderus plagiatus,0
Dolichoderus pustulatus,0
Dolichoderus taschenbergi,0
Dorymyrmex bossutus,0
Dorymyrmex bureni,0
Dorymyrmex elegans,0
Dorymyrmex flavopectus,0
Dorymyrmex flavus,0
Dorymyrmex grandulus,0
Dorymyrmex insanus,0
Dorymyrmex reginicula,0
Dorymyrmex smithi,0
Eurhopalothrix floridana,0
Forelius mccooki,0
Forelius pruinosus,0
Formica archboldi,0
Formica argentea,0
Formica biophilica,1
Formica difficilis,0
Formica dolosa,0
Formica exsectoides,0
Formica fusca,0
Formica incerta,0
Formica integra,0
Formica neorufibarbis,0
Formica obscuriventris,1
Formica pallidefulva,0
Formica rubicunda,0
Formica scitula,0
Formica subintegra,0
Formica subsericea,1
Gnamptogenys triangularis,0
Hypoponera inexorata,0
Hypoponera opaciceps,0
Hypoponera opacior,0
Hypoponera punctatissima,0
Lasius alienus,0
Lasius americanus,0
Lasius aphidicola,0
Lasius brevicornis,0
Lasius claviger,0
Lasius interjectus,0
Lasius murphyi,0
Lasius nearcticus,0
Lasius neoniger,0
Lasius pallitarsis,0
Lasius plumopilosus,0
Lasius pubescens,0
Lasius speculiventris,0
Lasius subglaber,0
Lasius umbratus,0
Leptogenys manni,0
Linepithema humile,0
Monomorium ebeninum,0
Monomorium floricola,0
Monomorium minimum,0
Monomorium pharaonis,0
Monomorium subcoecum,0
Monomorium trageri,0
Monomorium viridum,0
Myrmecina americana,0
Myrmecina cooperi,0
Myrmecina davison,0
Myrmelachista ramulorum,1
Myrmica americana,0
Myrmica fracticornis,0
Myrmica incompleta,0
Myrmica latifrons,0
Myrmica pinetorum,0
Myrmica punctiventris,0
Myrmica spatulata,0
Neivamyrmex carolinensis,1
Neivamyrmex nigrescens,1
Neivamyrmex opacithorax,1
Neivamyrmex pilosus,1
Neivamyrmex texanus,1
Nylanderia arenivaga,0
Nylanderia bourbonica,0
Nylanderia concinna,0
Nylanderia faisonensis,0
Nylanderia fulva,0
Nylanderia parasitica,0
Nylanderia parvula,0
Nylanderia phantasma,0
Nylanderia pubens,0
Nylanderia querna,0
Nylanderia steinheili,0
Nylanderia trageri,0
Nylanderia vividula,0
Nylanderia wojciki,0
Ochetellus glaber,0
Odontomachus brunneus,0
Odontomachus haematodus,0
Odontomachus relictus,0
Odontomachus ruginodis,0
Paratrechina longicornis,0
Pheidole adrianoi,1
Pheidole anastasii,1
Pheidole bicarinata,1
Pheidole bilimeki,1
Pheidole carrolli,1
Pheidole crassicornis,1
Pheidole davisi,1
Pheidole dentata,1
Pheidole dentigula,1
Pheidole diversipilosa,1
Pheidole flavens,1
Pheidole floridana,1
Pheidole lamia,1
Pheidole littoralis,1
Pheidole megacephala,1
Pheidole metallescens,1
Pheidole morrisii,1
Pheidole navigans,1
Pheidole obscurithorax,1
Pheidole pelor,1
Pheidole pilifera,1
Pheidole tetra,1
Pheidole tysoni,1
Platythyrea punctata,0
Pogonomyrmex badius,1
Polyergus longicornis,0
Polyergus lucidus,0
Polyergus ruber,0
Ponera exotica,0
Ponera pennsylvanica,0
Poneracantha triangularis,0
Prenolepis imparis,0
Prionopelta antillana,0
Proceratium chickasaw,0
Proceratium crassicorne,0
Proceratium creek,0
Proceratium croceum,0
Proceratium pergandei,0
Proceratium silaceum,0
Pseudomyrmex cubaensis,0
Pseudomyrmex ejectus,0
Pseudomyrmex elongatus,0
Pseudomyrmex gracilis,0
Pseudomyrmex leptosus,0
Pseudomyrmex pallidus,0
Pseudomyrmex seminole,0
Pseudomyrmex simplex,0
Pseudoponera stigma,0
Solenopsis abdita,0
Solenopsis carolinensis,0
Solenopsis geminata,1
Solenopsis globularia,1
Solenopsis invicta,1
Solenopsis molesta,0
Solenopsis nickersoni,0
Solenopsis pergandei,0
Solenopsis phoretica,NA
Solenopsis picta,0
Solenopsis richteri,1
Solenopsis tennesseensis,0
Solenopsis texana,0
Solenopsis tonsa,0
Solenopsis xyloni,1
Stenamma brevicorne,0
Stenamma diecki,0
Stenamma foveolocephalum,0
Stenamma impar,0
Stenamma meridionale,0
Stenamma schmittii,0
Stigmatomma pallipes,0
Strumigenys abdita,0
Strumigenys angulata,0
Strumigenys apalachicolensis,0
Strumigenys archboldi,0
Strumigenys bimarginata,0
Strumigenys boltoni,0
Strumigenys brevisetosa,0
Strumigenys bunki,0
Strumigenys carolinensis,0
Strumigenys cloydi,0
Strumigenys clypeata,0
Strumigenys creightoni,0
Strumigenys deyrupi,0
Strumigenys dietrichi,0
Strumigenys eggersi,0
Strumigenys emmae,0
Strumigenys epinotalis,0
Strumigenys filirrhina,0
Strumigenys gundlachi,0
Strumigenys hexamera,0
Strumigenys hyalina,0
Strumigenys inopina,0
Strumigenys laevinasis,0
Strumigenys lanuginosa,0
Strumigenys louisianae,0
Strumigenys margaritae,0
Strumigenys membranifera,0
Strumigenys memorialis,0
Strumigenys metazytes,0
Strumigenys missouriensis,0
Strumigenys ornata,0
Strumigenys pergandei,0
Strumigenys pilinasis,0
Strumigenys pulchella,0
Strumigenys reflexa,0
Strumigenys rogeri,0
Strumigenys rohweri,0
Strumigenys rostrata,0
Strumigenys silvestrii,0
Strumigenys talpa,0
Strumigenys wrayi,0
Tapinoma litorale,0
Tapinoma melanocephalum,0
Tapinoma sessile,0
Technomyrmex difficilis,0
Temnothorax allardycei,1
Temnothorax ambiguus,0
Temnothorax americanus,0
Temnothorax bradleyi,0
Temnothorax curvispinosus,0
Temnothorax duloticus,0
Temnothorax longispinosus,0
Temnothorax minutissimus,0
Temnothorax palustris,0
Temnothorax pergandei,0
Temnothorax schaumii,0
Temnothorax smithi,0
Temnothorax texanus,0
Temnothorax torrei,0
Temnothorax tuscaloosae,0
Tetramorium bicarinatum,0
Tetramorium caldarium,0
Tetramorium immigrans,0
Tetramorium lanuginosum,0
Tetramorium simillimum,0
Tetramorium tsushimae,0
Trachymyrmex jamaicensis,0
Trachymyrmex septentrionalis,0
Trichomyrmex destructor,1
Wasmannia auropunctata,0
Xenomyrmex floridanus,0