SPECIES,Status
Anochetus mayri,e
Aphaenogaster ashmeadi,n
Aphaenogaster carolinensis,n
Aphaenogaster flemingi,n
Aphaenogaster floridana,n
Aphaenogaster fulva,n
Aphaenogaster lamellidens,n
Aphaenogaster mariae,n
Aphaenogaster miamiana,n
Aphaenogaster picea,n
Aphaenogaster rudis,n
Aphaenogaster tennesseensis,n
Aphaenogaster texana,n
Aphaenogaster treatae,n
Aphaenogaster umphreyi,n
Brachymyrmex depilis,n
Brachymyrmex minutus,e
Brachymyrmex obscurior,e
Brachymyrmex patagonicus,e
Brachyponera chinensis,e
Camponotus americanus,n
Camponotus caryae,n
Camponotus castaneus,n
Camponotus chromaiodes,n
Camponotus decipiens,n
Camponotus discolor,n
Camponotus floridanus,n
Camponotus inaequalis,e
Camponotus nearcticus,n
Camponotus novaeboracensis,n
Camponotus novogranadensis,e
Camponotus pennsylvanicus,n
Camponotus planatus,e
Camponotus sansabeanus,n
Camponotus sexguttatus,e
Camponotus snellingi,n
Camponotus socius,n
Camponotus subbarbatus,n
Cardiocondyla emeryi,e
Cardiocondyla mauritanica,e
Cardiocondyla minutior,e
Cardiocondyla nuda,e
Cardiocondyla obscurior,e
Cardiocondyla venustula,e
Cardiocondyla wroughtonii,e
Cephalotes varians,n
Colobopsis impressa,n
Colobopsis mississippiensis,n
Colobopsis obliqua,n
Colobopsis riehlii,e
Crematogaster ashmeadi,n
Crematogaster atkinsoni,n
Crematogaster cerasi,n
Crematogaster laeviuscula,n
Crematogaster lineolata,n
Crematogaster minutissima,n
Crematogaster missouriensis,n
Crematogaster obscurata,e
Crematogaster parapilosa,n
Crematogaster pilosa,n
Crematogaster pinicola,n
Crematogaster vermiculata,n
Cryptopone gilva,n
Cyphomyrmex minutus,n
Cyphomyrmex rimosus,e
Discothyrea testacea,n
Dolichoderus mariae,n
Dolichoderus plagiatus,n
Dolichoderus pustulatus,n
Dolichoderus taschenbergi,n
Dorymyrmex bossutus,n
Dorymyrmex bureni,n
Dorymyrmex elegans,n
Dorymyrmex flavopectus,n
Dorymyrmex flavus,n
Dorymyrmex grandulus,n
Dorymyrmex insanus,n
Dorymyrmex reginicula,n
Dorymyrmex smithi,n
Eurhopalothrix floridana,n
Forelius mccooki,n
Forelius pruinosus,n
Formica archboldi,n
Formica argentea,n
Formica biophilica,n
Formica difficilis,n
Formica dolosa,n
Formica exsectoides,n
Formica fusca,e
Formica incerta,n
Formica integra,n
Formica neorufibarbis,n
Formica obscuriventris,n
Formica pallidefulva,n
Formica rubicunda,n
Formica scitula,n
Formica subintegra,n
Formica subsericea,n
Gnamptogenys triangularis,n
Hypoponera inexorata,n
Hypoponera opaciceps,e
Hypoponera opacior,n
Hypoponera punctatissima,e
Lasius alienus,e
Lasius americanus,n
Lasius aphidicola,n
Lasius brevicornis,n
Lasius claviger,n
Lasius interjectus,n
Lasius murphyi,n
Lasius nearcticus,n
Lasius neoniger,n
Lasius pallitarsis,n
Lasius plumopilosus,n
Lasius pubescens,n
Lasius speculiventris,n
Lasius subglaber,n
Lasius umbratus,n
Leptogenys manni,n
Linepithema humile,e
Monomorium ebeninum,n
Monomorium floricola,e
Monomorium minimum,n
Monomorium pharaonis,e
Monomorium subcoecum,e
Monomorium trageri,n
Monomorium viridum,n
Myrmecina americana,n
Myrmecina cooperi,n
Myrmecina davisoni,n
Myrmelachista ramulorum,e
Myrmica americana,n
Myrmica fracticornis,n
Myrmica incompleta,n
Myrmica latifrons,n
Myrmica pinetorum,n
Myrmica punctiventris,n
Myrmica spatulata,n
Neivamyrmex carolinensis,n
Neivamyrmex nigrescens,n
Neivamyrmex opacithorax,n
Neivamyrmex pilosus,n
Neivamyrmex texanus,n
Nylanderia arenivaga,n
Nylanderia bourbonica,e
Nylanderia concinna,n
Nylanderia faisonensis,n
Nylanderia fulva,e
Nylanderia parasitica,n
Nylanderia parvula,n
Nylanderia phantasma,n
Nylanderia pubens,e
Nylanderia querna,n
Nylanderia steinheili,e
Nylanderia trageri,n
Nylanderia vividula,n
Nylanderia wojciki,n
Ochetellus glaber,e
Odontomachus brunneus,n
Odontomachus haematodus,e
Odontomachus relictus,n
Odontomachus ruginodis,e
Paratrechina longicornis,e
Pheidole adrianoi,n
Pheidole anastasii,e
Pheidole bicarinata,n
Pheidole bilimeki,n
Pheidole carrolli,n
Pheidole crassicornis,n
Pheidole davisi,n
Pheidole dentata,n
Pheidole dentigula,n
Pheidole diversipilosa,n
Pheidole flavens,e
Pheidole floridana,n
Pheidole lamia,n
Pheidole littoralis,n
Pheidole megacephala,e
Pheidole metallescens,n
Pheidole morrisii,n
Pheidole navigans,e
Pheidole obscurithorax,e
Pheidole pelor,n
Pheidole pilifera,n
Pheidole tetra,n
Pheidole tysoni,n
Platythyrea punctata,e
Pogonomyrmex badius,n
Polyergus longicornis,n
Polyergus lucidus,n
Polyergus ruber,n
Ponera exotica,n
Ponera pennsylvanica,n
Poneracantha triangularis,e
Prenolepis imparis,n
Prionopelta antillana,e
Proceratium chickasaw,n
Proceratium crassicorne,n
Proceratium creek,n
Proceratium croceum,n
Proceratium pergandei,n
Proceratium silaceum,n
Pseudomyrmex cubaensis,e
Pseudomyrmex ejectus,e
Pseudomyrmex elongatus,e
Pseudomyrmex gracilis,e
Pseudomyrmex leptosus,n
Pseudomyrmex pallidus,e
Pseudomyrmex seminole,n
Pseudomyrmex simplex,n
Pseudoponera stigma,e
Solenopsis abdita,n
Solenopsis carolinensis,n
Solenopsis geminata,e
Solenopsis globularia,e
Solenopsis invicta,e
Solenopsis molesta,n
Solenopsis nickersoni,n
Solenopsis pergandei,n
Solenopsis phoretica,
Solenopsis picta,n
Solenopsis richteri,e
Solenopsis tennesseensis,n
Solenopsis texana,n
Solenopsis tonsa,n
Solenopsis xyloni,n
Stenamma brevicorne,n
Stenamma diecki,n
Stenamma foveolocephalum,n
Stenamma impar,n
Stenamma meridionale,n
Stenamma schmittii,n
Stigmatomma pallipes,n
Strumigenys abdita,n
Strumigenys angulata,n
Strumigenys apalachicolensis,n
Strumigenys archboldi,n
Strumigenys bimarginata,n
Strumigenys boltoni,n
Strumigenys brevisetosa,n
Strumigenys bunki,n
Strumigenys carolinensis,n
Strumigenys cloydi,n
Strumigenys clypeata,n
Strumigenys creightoni,n
Strumigenys deyrupi,n
Strumigenys dietrichi,n
Strumigenys eggersi,e
Strumigenys emmae,e
Strumigenys epinotalis,e
Strumigenys filirrhina,n
Strumigenys gundlachi,e
Strumigenys hexamera,e
Strumigenys hyalina,n
Strumigenys inopina,n
Strumigenys laevinasis,n
Strumigenys lanuginosa,e
Strumigenys louisianae,n
Strumigenys margaritae,e
Strumigenys membranifera,e
Strumigenys memorialis,n
Strumigenys metazytes,n
Strumigenys missouriensis,n
Strumigenys ornata,n
Strumigenys pergandei,n
Strumigenys pilinasis,n
Strumigenys pulchella,n
Strumigenys reflexa,n
Strumigenys rogeri,e
Strumigenys rohweri,n
Strumigenys rostrata,n
Strumigenys silvestrii,e
Strumigenys talpa,n
Strumigenys wrayi,n
Tapinoma litorale,n
Tapinoma melanocephalum,e
Tapinoma sessile,n
Technomyrmex difficilis,e
Temnothorax allardycei,e
Temnothorax ambiguus,n
Temnothorax americanus,n
Temnothorax bradleyi,n
Temnothorax curvispinosus,n
Temnothorax duloticus,n
Temnothorax longispinosus,n
Temnothorax minutissimus,n
Temnothorax palustris,n
Temnothorax pergandei,n
Temnothorax schaumii,n
Temnothorax smithi,n
Temnothorax texanus,n
Temnothorax torrei,n
Temnothorax tuscaloosae,n
Tetramorium bicarinatum,e
Tetramorium caldarium,e
Tetramorium immigrans,e
Tetramorium lanuginosum,e
Tetramorium simillimum,e
Tetramorium tsushimae,e
Trachymyrmex jamaicensis,n
Trachymyrmex septentrionalis,n
Trichomyrmex destructor,e
Wasmannia auropunctata,e
Xenomyrmex floridanus,n