SPECIES,CASENT,HW,HL,ML,EL,WL
Cyphomyrmex minutus,fmnhins0000062861,0.644,0.624,0.254,0.151,0.915
Cyphomyrmex minutus,casent0103832,0.699,0.687,0.105,0.142,0.991
Cyphomyrmex rimosus,casent0103839,0.694,0.687,0.332,0.1805,1.114
Cyphomyrmex rimosus,casent0919614,0.568,0.535,0.188,0.129,0.823
Cyphomyrmex rimosus,fmnhins0000046091,0.709,0.742,0.323,NA,1.137
Cyphomyrmex rimosus,casent0923105,0.742,0.795,0.18,0.164,1.112
Discothyrea testacea,casent0004651,0.341,0.406,0.104,NA,0.449
Discothyrea testacea,casent0006058,0.354,0.433,0.143,NA,0.452
Discothyrea testacea,casent0270725,0.396,0.482,0.193,NA,0.503
Discothyrea testacea,casent0103847,0.406,0.511,0.0105,0.015,0.478
Dolichoderus mariae,casent0103850,0.81,0.904,0.377,0.236,1.215
Dolichoderus mariae,casent0909456,0.955,1.011,0.393,0.2865,1.463
Dolichoderus mariae,fmnhins0000045063,0.872,0.956,0.399,0.2405,1.326
Dolichoderus mariae,casent0003312,0.94,1.047,0.22,0.2665,1.332
Dolichoderus plagiatus,ANTWEB1041579,0.81,0.859,0.393,0.246,1.224
Dolichoderus plagiatus,CASENT0104779,0.786,0.897,0.35,0.222,1.112
Dolichoderus plagiatus,CASENT0915561,0.764,0.882,0.351,0.2465,1.351
Dolichoderus pustulatus,casent0103855,0.871,0.95,0.379,0.2615,1.207
Dolichoderus pustulatus,casent0249578,0.704,0.736,0.336,0.2245,1.062
Dolichoderus pustulatus,fmnhins0000045072,0.755,0.833,0.325,0.227,1.184
Dolichoderus pustulatus,casent0902960,0.722,0.799,0.2075,0.2425,1.166
Dolichoderus taschenbergi,ANTWEB1041580,0.823,0.902,0.397,0.2345,1.245
Dolichoderus taschenbergi,CASENT0005172,0.798,0.884,0.365,0.2325,1.173
Dolichoderus taschenbergi,CASENT0249580,0.81,0.89,0.384,0.2335,1.139
Dolichoderus taschenbergi,CASENT0915568,0.835,0.916,0.421,0.2215,1.359
Dolichoderus taschenbergi,FMNHINS0000045083,0.918,0.958,0.439,0.2545,1.36
Dorymyrmex bossutus,casent0103858,0.697,0.81,0.381,0.214,1.008
Dorymyrmex bossutus,casent0105876,0.5355,0.609,0.089,0.162,0.971
Dorymyrmex bureni,casent0249670,0.692,0.778,0.366,0.2255,1.084
Dorymyrmex bureni,fmnhins0000062862,0.807,0.857,0.421,0.27,1.28
Dorymyrmex bureni,casent0103863,0.727,0.832,0.412,0.2135,1.124
Dorymyrmex bureni,casent0281176,0.865,0.974,0.1385,0.2525,1.315
Dorymyrmex elegans,casent0103876,0.675,0.846,0.438,0.224,1.42
Dorymyrmex elegans,casent0249671,0.65,0.807,0.417,0.2185,1.406
Dorymyrmex elegans,casent0003314,0.688,0.863,0.1465,0.2065,1.282
Dorymyrmex flavopectus,casent0103887,0.7305,0.874,0.1825,0.203,1.213
Dorymyrmex flavus,CASENT0005321,0.84,0.928,NA,0.2585,1.21
Dorymyrmex flavus,CASENT0104736,0.775,0.86,0.418,0.257,1.141
Dorymyrmex flavus,CASENT0249674,0.624,0.67,0.392,0.243,0.971
Dorymyrmex flavus,CASENT0902983,0.791,0.87,0.434,0.2705,1.14
Dorymyrmex flavus,FMNHINS0000045102,0.973,1.059,0.485,0.255,1.414
Dorymyrmex grandulus,casent0911036,0.688,0.816,0.414,0.2215,1.156
Dorymyrmex grandulus,casent0103878,0.6135,0.76,0.1125,0.1845,1.0775
Dorymyrmex insanus,CASENT0005319,0.8,0.871,0.409,0.1805,0.458
Dorymyrmex insanus,CASENT0102753,0.735,0.836,0.425,0.2555,1.062
Dorymyrmex insanus,CASENT0179520,0.718,0.788,0.391,0.2265,1.094
Dorymyrmex insanus,CASENT0249672,0.705,0.8,0.422,0.2335,1.057
Dorymyrmex insanus,CASENT0732617,0.692,0.79,0.335,0.2045,1.018
Dorymyrmex reginicula,casent0103900,0.878,0.954,0.1295,0.265,1.303
Dorymyrmex smithi,CASENT0103445,0.913,0.94,0.463,0.261,1.166
Eurhopalothrix floridana,casent0006100,0.625,0.577,0.195,0.043,0.71
Eurhopalothrix floridana,casent0914898,0.655,0.597,0.206,0.0425,0.74
Eurhopalothrix floridana,fmnhins0000047628,0.61,0.596,0.184,0.038,0.7
Eurhopalothrix floridana,casent0003195,0.607,0.557,0.143,0.0405,0.654
Forelius mccooki,CASENT0005322,0.796,0.946,0.411,0.1735,0.67
Forelius mccooki,CASENT0102754,0.523,0.611,0.264,0.1445,0.74
Forelius mccooki,CASENT0249692,0.489,0.575,0.288,0.142,0.717
Forelius mccooki,CASENT0909716,0.631,0.695,0.325,0.1805,1.05
Forelius mccooki,CASENT0922449,0.478,0.566,NA,0.1375,0.694
Forelius pruinosus,casent0103912,0.512,0.585,0.268,0.146,0.782
Forelius pruinosus,casent0249696,0.623,0.654,0.356,0.1655,0.931
Forelius pruinosus,casent0915583,0.606,0.687,0.353,0.143,0.792
Forelius pruinosus,fmnhins0000062863,0.515,0.594,0.286,0.1415,0.741
Forelius pruinosus,casent0249695,0.489,0.57,0.059,0.126,0.7235
Formica archboldi,casent0103921,1.317,1.659,0.753,0.5225,2.749
Formica archboldi,casent0105592,1.274,1.589,0.842,0.4805,2.634
Formica archboldi,casent0104886,1.129,1.44,0.252,0.4135,2.3745
Formica argentea,ANTWEB1041662,1.393,1.539,0.731,0.561,2.448
Formica argentea,CASENT0005361,1.457,1.628,0.701,0.5275,2.389
Formica argentea,CASENT0102159,1.549,1.636,0.674,0.576,2.529
Formica argentea,CASENT0179849,1.449,1.656,0.714,0.582,2.5
Formica argentea,FMNHINS0000062555,1.578,1.701,0.725,NA,2.673
Formica biophilica,casent0103945,1.347,1.759,0.766,0.463,2.601
Formica biophilica,casent0105556,1.281,1.656,0.712,0.5045,3.339
Formica biophilica,casent0280343,1.192,1.5,0.776,0.4035,2.426
Formica biophilica,casent0103499,1.133,1.456,0.1705,0.373,2.489
Formica difficilis,CASENT0102161,1.512,1.693,0.792,0.454,2.275
Formica difficilis,CASENT0105549,1.249,1.463,0.627,0.374,1.936
Formica difficilis,CASENT0280414,1.454,1.603,0.763,0.4285,2.241
Formica dolosa,casent0179861,1.256,1.563,0.745,0.424,2.498
Formica dolosa,casent0911066,1.585,1.84,0.947,0.5755,3.066
Formica dolosa,casent0103933,1.204,1.628,0.2315,0.4255,2.8845
Formica exsectoides,CASENT0104768,1.797,1.812,0.871,0.517,2.683
Formica exsectoides,CASENT0911093,1.703,1.797,0.853,0.4975,2.449
Formica exsectoides,FMNHINS0000046254,1.568,1.648,0.764,0.4555,2.562
Formica fusca,ANTWEB1008410,1.138,1.34,0.588,0.389,2.017
Formica fusca,CASENT0173170,1.249,1.441,0.629,0.438,1.864
Formica fusca,CASENT0179924,2.754,3.217,1.305,0.986,4.425
Formica fusca,CASENT0280385,1.338,1.503,0.577,0.49,2.356
Formica fusca,FMNHINS0000046280,1.349,1.59,0.653,0.4735,2.315
Formica incerta,CASENT0105553,1.374,1.622,0.809,0.457,2.613
Formica incerta,CASENT0172881,1.204,1.474,0.655,0.436,2.43
Formica incerta,CASENT0172884,1.573,1.816,0.773,0.496,2.873
Formica incerta,CASENT0280344,1.481,1.747,0.829,0.498,2.971
Formica incerta,CASENT0280346,1.552,1.732,0.826,0.4945,2.765
Formica integra,ANTWEB1041665,1.577,1.704,0.826,0.4855,2.533
Formica integra,ANTWEB1041666,1.765,1.878,0.948,0.5085,2.668
Formica integra,CASENT0105554,1.993,2.2,0.957,0.5145,2.678
Formica integra,CASENT0280396,1.66,1.758,0.824,0.477,2.475
Formica neorufibarbis,CASENT0005371,1.231,1.393,0.61,0.44,1.963
Formica neorufibarbis,CASENT0102152,1.154,1.297,0.575,0.3945,1.708
Formica neorufibarbis,CASENT0103329,1.195,1.323,0.56,0.429,1.983
Formica neorufibarbis,CASENT0103330,1.413,1.49,0.586,0.466,2.064
Formica neorufibarbis,CASENT0280366,1.399,1.475,0.648,0.4505,1.973
Formica obscuriventris,CASENT0104769,1.993,2.102,0.924,0.5335,3.122
Formica obscuriventris,CASENT0179609,1.592,1.678,0.75,0.4415,2.24
Formica obscuriventris,CASENT0633325,1.882,1.967,0.911,0.523,2.803
Formica obscuriventris,CASENT0911083,1.759,1.823,0.851,0.456,2.439
Formica obscuriventris,FMNHINS0000062712,1.606,1.647,0.871,0.475,2.478
Formica pallidefulva,casent0103931,1.034,1.34,0.641,0.4085,2.381
Formica pallidefulva,casent0905709,0.993,1.184,0.6,0.4315,2.761
Formica pallidefulva,casent0915638,1.225,1.493,0.683,0.3885,2.315
Formica pallidefulva,casent0103932,0.9835,1.259,0.164,0.3515,2.086
Formica rubicunda,CASENT0104869,1.718,1.776,0.74,0.4715,2.89
Formica rubicunda,CASENT0104884,2.179,2.166,0.909,0.606,2.844
Formica rubicunda,CASENT0905693,2.273,2.246,1.05,0.604,3.253
Formica subintegra,antweb1041683,1.526,1.586,0.707,0.4505,2.178
Formica subintegra,CASENT0280425,1.008,1.147,0.516,0.3305,1.795
Formica subintegra,CASENT0905694,1.809,1.856,0.769,0.4955,2.931
Formica subintegra,CASENT0104771,1.466,1.588,0.688,0.4495,2.345
Formica subsericea,casent0179853,1.33,1.526,0.679,0.499,2.27
Formica subsericea,casent0280362,1.609,1.849,0.827,0.5895,2.676
Formica subsericea,casent0281180,1.685,1.896,0.818,0.5885,2.798
Formica subsericea,casent0103942,1.378,1.648,0.172,0.5105,2.502
Hypoponera inexorata,casent0103956,0.621,0.693,0.367,NA,0.902
Hypoponera inexorata,casent0065779,0.53,0.642,0.318,NA,0.894
Hypoponera inexorata,casent0647600,0.99,1.045,0.608,NA,1.555
Hypoponera inexorata,fmnhins0000088658,0.626,0.696,0.386,NA,0.991
Hypoponera inexorata,casent0102904,0.6725,0.755,0.259,0.045,1.042
Hypoponera opaciceps,casent0103952,0.626,0.715,0.37,0.0455,0.926
Hypoponera opaciceps,casent0104122,0.608,0.696,0.335,0.0415,1.016
Hypoponera opaciceps,casent0246006,0.689,0.752,0.413,NA,1.071
Hypoponera opaciceps,casent0915870,0.644,0.731,0.332,0.048,1.049
Hypoponera opaciceps,casent0104663,0.66,0.761,0.22,0.0425,1.0755
Hypoponera opacior,casent0103966,0.579,0.705,0.355,0.032,0.857
Hypoponera opacior,casent0907333,0.525,0.616,0.333,NA,0.98
Hypoponera opacior,fmnhins0000062864,0.502,0.584,0.309,NA,0.794
Hypoponera opacior,casent0102905,0.5145,0.622,0.172,0.0265,0.816
Hypoponera punctatissima,casent0103973,0.697,0.851,0.305,NA,0.853
Hypoponera punctatissima,casent0103976,0.48,0.588,0.32,NA,0.724
Hypoponera punctatissima,casent0217521,0.345,0.419,0.197,NA,0.581
Hypoponera punctatissima,casent0915190,0.54,0.63,0.335,NA,0.802
Hypoponera punctatissima,casent0005437,0.5225,0.626,0.197,0.027,0.852
Lasius alienus,CASENT0172724,0.829,0.893,0.412,NA,1.065
Lasius alienus,CASENT0179927,0.743,0.801,0.387,0.2135,0.951
Lasius alienus,CFH000015,0.878,0.986,0.406,0.2885,1.468
Lasius alienus,CFH000018,1.681,1.76,0.819,0.3855,1.603
Lasius alienus,FOCOL0754,0.751,0.815,0.402,0.211,1.035
Lasius americanus,casent0102801,0.812,0.903,0.424,0.2265,0.997
Lasius americanus,casent0179854,0.772,0.846,0.389,NA,0.911
Lasius americanus,casent0905677,0.759,0.809,0.338,0.221,1.102
Lasius americanus,casent0103987,0.773,0.885,0.0935,0.2135,1.022
Lasius aphidicola,CASENT0005409,0.974,1.024,0.496,0.1605,1.206
Lasius aphidicola,CASENT0103993,0.959,1.002,0.489,0.17,1.153
Lasius aphidicola,CASENT0280468,0.919,0.956,0.465,0.1715,1.238
Lasius brevicornis,CASENT0005406,0.821,0.904,0.428,0.092,1.079
Lasius brevicornis,CASENT0102802,0.787,0.833,0.376,NA,1.002
Lasius brevicornis,CASENT0260130,0.899,0.907,0.443,0.1205,1.073
Lasius brevicornis,CASENT0280456,0.766,0.808,0.394,0.0925,0.999
Lasius brevicornis,CASENT0905678,0.78,0.815,0.473,NA,1.015
Lasius claviger,ANTWEB1041645,1.154,1.139,0.577,0.159,1.498
Lasius claviger,CASENT0103541,1.036,1.062,0.533,0.141,1.244
Lasius claviger,CASENT0103542,1.07,1.067,0.557,0.147,1.327
Lasius claviger,CASENT0280435,0.992,1.01,0.571,NA,1.155
Lasius interjectus,casent0103545,1.425,1.372,0.741,0.1845,1.65
Lasius interjectus,casent0105573,1.271,1.236,0.697,0.183,1.559
Lasius interjectus,casent0102696,1.3445,1.284,0.206,0.17,1.56
Lasius murphyi,CASENT0005400,0.918,0.961,0.516,0.095,1.135
Lasius murphyi,CASENT0911058,0.919,0.942,0.545,0.125,1.259
Lasius neoniger,casent0103980,0.807,0.848,0.41,0.2025,1.039
Lasius neoniger,casent0179850,0.762,0.828,0.411,0.204,1.103
Lasius neoniger,casent0905676,0.724,0.786,0.407,0.1965,1.037
Lasius neoniger,casent0005403,0.821,0.91,0.1805,0.2245,1.077
Lasius nearcticus,casent0104774,0.65,0.695,0.376,0.077,0.842
Lasius nearcticus,ANTWEB1041743,0.793,0.866,0.467,0.073,0.941
Lasius pallitarsis,ANTWEB1038011,1.002,1.091,0.528,0.256,1.417
Lasius pallitarsis,CASENT0005405,1.136,1.155,0.571,0.278,1.38
Lasius pallitarsis,CASENT0102805,1.014,0.878,0.54,0.226,1.298
Lasius pallitarsis,CASENT0280439,1.006,1.04,0.51,0.256,1.283
Lasius pallitarsis,CASENT0919966,1.038,1.052,0.523,0.2575,1.288
Lasius plumopilosus,CASENT0103493,0.849,0.88,0.447,0.11,0.995
Lasius plumopilosus,CASENT0105575,0.847,0.867,0.464,0.094,1.12
Lasius pubescens,CASENT0103497,0.973,1.019,0.49,NA,1.137
Lasius pubescens,CASENT0105576,0.941,0.943,0.509,0.153,1.59
Lasius pubescens,CASENT0903202,1.002,1.002,0.5,NA,1.3
Lasius speculiventris,CASENT0103508,1.011,1.032,0.538,0.148,1.1
Lasius speculiventris,CASENT0105613,0.892,0.891,0.466,0.1555,1.293
Lasius speculiventris,CASENT0905687,0.936,0.953,0.515,NA,NA
Lasius subglaber,CASENT0104878,0.872,0.928,0.502,0.103,1.043
Lasius subglaber,CASENT0105546,0.987,0.982,0.503,NA,NA
Lasius subglaber,CASENT0280438,0.983,1.029,0.526,0.136,1.187
Lasius subglaber,CASENT0905688,1.01,1.014,0.526,0.133,1.246
Lasius subglaber,CASENT0905689,0.914,0.949,0.482,NA,1.018
Lasius umbratus,casent0903215,0.933,0.967,0.508,0.142,1.209
Lasius umbratus,casent0911054,1.181,1.217,0.666,NA,1.485
Lasius umbratus,casent0911055,0.827,0.878,0.46,0.1365,1.143
Lasius umbratus,casent0172706,1.064,1.103,0.2255,0.1495,1.425
Leptogenys manni,casent0178785,0.936,1.466,0.672,0.3335,2.384
Leptogenys manni,casent0104002,0.864,1.412,0.1735,0.316,2.407
Linepithema humile,casent0104147,0.606,0.662,0.283,0.1765,1.009
Linepithema humile,casent0911562,0.832,0.858,0.399,0.219,1.247
Linepithema humile,casent0915577,0.673,0.719,0.339,0.1945,1.079
Linepithema humile,casent0249733,0.703,0.725,0.312,0.193,1.132
Linepithema humile,casent0006019,0.6695,0.713,0.145,0.164,1.067
Monomorium ebeninum,CASENT0104083,0.365,0.475,0.192,0.086,0.701
Monomorium ebeninum,CASENT0318457,0.354,0.472,0.187,0.0935,0.53
Monomorium ebeninum,CASENT0729633,0.352,0.469,0.196,0.079,0.546
Monomorium ebeninum,CASENT0908696,0.397,0.513,0.225,0.086,0.617
Monomorium ebeninum,FMNHINS0000088660,0.38,0.488,0.212,NA,0.565
Monomorium floricola,CASENT0125221,0.309,0.384,0.153,0.062,0.461
Monomorium floricola,CASENT0064821,0.315,0.4,0.163,0.065,0.482
Monomorium floricola,CASENT0060702,0.333,0.417,0.153,0.0615,0.43
Monomorium floricola,CASENT0053986,0.337,0.403,0.163,0.062,0.437
Monomorium floricola,CASENT0010954,0.305,0.384,0.155,0.0725,0.443
Monomorium minimum,CASENT0104789,0.468,0.591,0.267,0.112,0.635
Monomorium minimum,CASENT0104790,NA,0.555,0.243,NA,0.637
Monomorium minimum,CASENT0173040,0.416,0.514,0.233,0.103,0.514
Monomorium minimum,FMNHINS0000083019,0.379,0.467,0.199,0.1055,0.527
Monomorium pharaonis,casent0005782,0.482,0.597,0.265,0.092,0.778
Monomorium pharaonis,casent0104095,0.448,0.55,0.24,0.095,0.676
Monomorium pharaonis,casent0171086,0.415,0.526,0.227,0.0825,0.647
Monomorium pharaonis,casent0173986,0.3955,0.508,0.0545,0.0745,0.654
Monomorium subcoecum,casent0923382,0.262,0.322,0.148,0.0175,0.376
Monomorium subcoecum,casent0923383,0.259,0.328,0.142,0.0185,0.353
Monomorium subcoecum,casent0904581,0.315,0.385,0.064,0.018,0.385
Monomorium trageri,casent0104103,0.353,0.495,0.024,0.0815,0.528
Monomorium viridum,casent0104112,0.4045,0.52,0.092,0.1045,0.529
Myrmecina americana,casent0104118,0.784,0.754,0.413,0.0975,0.878
Myrmecina americana,casent0904688,0.634,0.638,0.394,NA,0.813
Myrmecina americana,fmnhins0000088661,0.669,0.654,0.348,0.0675,0.823
Myrmecina americana,casent0103049,0.694,0.671,0.1575,0.068,0.836
Myrmecina cooperi,,NA,NA,NA,NA,NA
Myrmecina davisoni,,NA,NA,NA,NA,NA
Myrmelachista ramulorum,CASENT0104126,0.625,0.64,0.255,0.1175,0.79
Myrmelachista ramulorum,CASENT0912343,0.459,0.519,NA,0.108,0.584
Myrmelachista ramulorum,JTLC000005280,0.514,0.558,0.223,NA,0.673
Myrmica americana,ANTWEB1041724,1.123,1.293,0.588,0.286,1.952
Myrmica americana,CASENT0179857,1.123,1.249,0.64,0.245,1.677
Myrmica americana,CASENT0649125,1.123,1.229,0.643,0.265,1.686
Myrmica fracticornis,CASENT0651716,0.848,0.973,0.499,0.207,1.396
Myrmica fracticornis,CASENT0904076,0.906,1.07,0.596,0.22,1.379
Myrmica fracticornis,CASENT0922751,0.869,0.943,0.547,NA,1.368
Myrmica incompleta,ANTWEB1038042,1.042,1.18,0.505,0.2035,1.38
Myrmica incompleta,CASENT0005703,1.08,1.272,0.647,0.2385,1.622
Myrmica incompleta,CASENT0179858,1.123,1.25,0.62,0.2265,1.553
Myrmica incompleta,CASENT0904079,1.013,1.12,0.602,0.209,1.433
Myrmica incompleta,CASENT0904081,1.155,1.313,0.734,0.252,1.758
Myrmica pinetorum,CASENT0104883,0.827,1.055,0.493,0.1985,1.369
Myrmica pinetorum,CASENT0907643,0.965,1.176,0.541,0.238,1.37
Myrmica latifrons,CASENT0104815,1.073,1.204,0.609,0.254,1.466
Myrmica latifrons,CASENT0173006,1.051,1.156,0.592,0.233,1.432
Myrmica latifrons,CASENT0650155,0.955,1.072,0.543,0.25,1.521
Myrmica latifrons,CASENT0907623,1.047,1.139,0.699,0.261,1.515
Myrmica latifrons,CASENT0907656,1.042,1.103,0.618,NA,1.571
Myrmica punctiventris,casent0907643,0.956,1.153,0.533,NA,1.366
Myrmica punctiventris,casent0104128,0.991,1.159,0.156,0.2125,1.4365
Myrmica spatulata,CASENT0104838,1.042,1.18,0.557,0.2185,1.59
Myrmica spatulata,ANTWEB1041706,1.018,1.149,0.631,0.2335,1.557
Myrmica spatulata,ANTWEB1041628,0.952,1.141,0.555,0.232,1.589
Neivamyrmex carolinensis,casent0902643,0.616,0.694,0.379,NA,1.05
Neivamyrmex carolinensis,casent0923616,0.953,0.963,0.482,0.0485,1.389
Neivamyrmex carolinensis,casent0104130,0.9675,1.005,0.1755,0.047,1.383
Neivamyrmex nigrescens,casent0005332,0.957,0.994,0.506,NA,1.621
Neivamyrmex nigrescens,casent0106080,1,1.008,0.535,0.08,1.633
Neivamyrmex nigrescens,casent0249494,0.604,0.752,0.347,NA,1.221
Neivamyrmex nigrescens,casent0902642,0.747,0.824,0.468,0.069,1.372
Neivamyrmex nigrescens,casent0249493,0.673,0.81,0.204,0.07,1.3285
Neivamyrmex opacithorax,casent0005334,0.991,1.04,0.5,0.062,1.397
Neivamyrmex opacithorax,casent0104139,1.094,1.117,0.509,0.067,1.773
Neivamyrmex opacithorax,casent0104142,0.629,0.722,0.351,NA,1.061
Neivamyrmex opacithorax,casent0903735,0.732,0.829,0.364,0.071,1.359
Neivamyrmex opacithorax,casent0102767,0.5445,0.647,0.0845,0.046,0.986
Neivamyrmex pilosus,casent0173529,1.508,1.511,0.64,0.0675,2.068
Neivamyrmex pilosus,casent0249500,1.333,1.35,0.619,0.068,1.942
Neivamyrmex pilosus,casent0902654,1.321,1.435,0.695,0.0995,2.147
Neivamyrmex pilosus,casent0911404,0.742,0.879,0.358,0.06,1.44
Neivamyrmex pilosus,ufv-labecol-003518,0.7155,0.821,0.2535,0.053,1.514
Neivamyrmex texanus,casent0249509,1.134,1.176,0.636,0.1085,1.968
Neivamyrmex texanus,casent0104150,0.768,0.929,0.222,0.755,1.4985
Nylanderia arenivaga,CASENT0280573,0.507,0.561,0.337,0.149,0.732
Nylanderia arenivaga,CASENT0923370,0.379,0.447,0.236,0.096,0.543
Nylanderia arenivaga,casent0104195,0.4455,0.532,0.0785,0.128,0.7605
Nylanderia bourbonica,casent0104203,0.619,0.674,0.285,0.195,1.006
Nylanderia bourbonica,casent0188533,0.641,0.713,0.328,0.2,0.933
Nylanderia bourbonica,casent0280574,0.65,0.707,0.391,0.2225,1.028
Nylanderia bourbonica,casent0910998,0.654,0.703,0.354,0.2185,1.08
Nylanderia bourbonica,fmnhins0000062866,0.62,0.709,0.339,0.198,0.923
Nylanderia bourbonica,casent0235555,0.533,0.607,0.107,0.171,0.9045
Nylanderia concinna,casent0104209,0.4595,0.539,0.685,0.1245,0.761
Nylanderia faisonensis,casent0280576,0.532,0.601,0.315,0.15,0.829
Nylanderia faisonensis,casent0911026,0.538,0.616,0.305,0.1295,0.754
Nylanderia faisonensis,casent0104218,0.4285,0.532,0.11,0.118,0.7155
Nylanderia fulva,casent0173238,0.497,0.585,0.254,0.158,0.846
Nylanderia fulva,casent0911029,0.739,0.814,0.439,0.2105,1.069
Nylanderia fulva,ecofog-it14-0782-33,0.549,0.681,0.268,0.1715,0.982
Nylanderia fulva,focol2719,0.809,0.82,0.463,0.2225,1.197
Nylanderia fulva,casent0173491,0.6005,0.674,0.139,0.1775,0.9345
Nylanderia parvula,casent0104230,0.537,0.62,0.278,0.152,0.758
